,FBCLOSE,FBVOLUME,AAPLCLOSE,AAPLVOLUME,AMZNCLOSE,AMZNVOLUME,GOOGLCLOSE,GOOGLVOLUME,NFLXCLOSE,NFLXVOLUME,SP500
5/2/2019,192.53,13209452,209.15,31996324,1900.82,3962915,1166.51,2254890,379.06,5398167,2917.52
5/1/2019,193.03,15996646,210.52,64827328,1911.52,3116964,1173.32,3717018,378.81,9257284,2923.73
4/30/2019,193.4,23494689,200.67,46534923,1926.52,3506007,1198.96,6658855,370.54,3870095,2945.83
4/29/2019,194.78,19641310,204.61,22204716,1938.43,4021255,1296.2,3618362,371.83,3821703,2943.03
4/26/2019,191.49,22075002,204.3,18649102,1950.63,8432563,1277.42,1361419,374.85,5621901,2939.88
4/25/2019,193.26,54148789,205.28,18543206,1902.25,6099101,1267.34,1567161,368.33,6255496,2926.17
4/24/2019,182.58,37289871,207.16,17540609,1901.75,3675781,1260.05,1169797,374.23,6541872,2927.25
4/23/2019,183.78,19954814,207.48,23322991,1923.77,4640441,1270.59,1593449,381.89,10089820,2933.68
4/22/2019,181.44,13389889,204.53,19439545,1887.31,3373807,1253.76,954419,377.34,11980534,2907.97
4/18/2019,178.28,11655608,203.86,24195766,1861.69,2749882,1241.47,1237788,360.35,8353165,2905.03
4/17/2019,178.78,9973732,203.13,28906780,1864.82,2893517,1240.14,1518286,354.74,18054101,2900.45
4/16/2019,178.87,11215193,199.25,25696385,1863.04,3044618,1231.91,1131099,359.46,18740232,2907.06
4/15/2019,179.65,10834762,199.23,17536646,1844.87,3724423,1226.53,1189974,348.87,8842344,2905.58
4/12/2019,179.1,12329812,198.87,27760668,1843.06,3114413,1222.73,1215610,351.14,15646199,2907.41
4/11/2019,177.51,8070967,198.95,20900808,1844.07,2654842,1209.59,849947,367.65,6526899,2888.32
4/10/2019,177.82,11701479,200.62,21695288,1847.33,2963973,1206.45,775456,363.92,4545561,2888.21
4/9/2019,177.58,19751031,199.5,35768237,1835.84,3714368,1202.69,983840,364.71,5439228,2878.2
4/8/2019,174.93,7297379,200.1,25881697,1849.86,3752841,1208.28,1087588,361.41,4653810,2895.77
4/5/2019,175.72,9594133,197,18526644,1837.28,3640476,1211.45,1001044,365.49,3905493,2892.74
4/4/2019,176.02,17847731,195.69,19114275,1818.86,3623867,1219.45,1051089,367.88,4627305,2879.39
4/3/2019,173.54,27590058,195.35,23271830,1820.7,3980590,1210.81,1109614,369.75,5376623,2873.4
4/2/2019,174.2,23946529,194.02,22765732,1813.98,3448115,1205.54,914413,367.72,5158742,2867.24
4/1/2019,168.7,10381490,191.24,27861964,1814.19,4238752,1198.98,1385595,366.96,7036097,2867.19
3/29/2019,166.69,13455454,189.95,23563961,1780.75,3320793,1176.89,1544615,356.56,4705636,2834.4
3/28/2019,165.55,10689171,188.72,20780363,1773.42,3042958,1172.27,1120122,354.61,4360960,2815.44
3/27/2019,165.87,10620299,188.47,29848427,1765.7,4324801,1178.01,1471402,353.37,7852370,2805.37
3/26/2019,167.68,15437920,186.79,49800538,1783.76,4865880,1189.84,1537606,359.97,7666475,2818.46
3/25/2019,166.29,12631230,188.74,43845293,1774.26,5103803,1197.38,1378849,366.23,8473845,2798.36
3/22/2019,164.34,16389185,191.05,42407666,1764.77,6362983,1207.65,1721133,361.01,8661346,2800.71
3/21/2019,166.08,16223007,195.09,51034237,1819.26,5767797,1236.13,1407480,377.87,8544017,2854.88
3/20/2019,165.44,20211474,188.16,31035231,1797.27,6265633,1226.43,2075442,375.22,10917165,2824.23
3/19/2019,161.57,25611488,186.53,31646369,1761.85,6364161,1202.46,1489407,358.78,7541425,2832.57
3/18/2019,160.47,37524191,188.02,26219832,1742.15,5429058,1188.55,1222203,363.44,7194726,2832.94
3/15/2019,165.98,37126000,186.12,39042912,1712.36,7550870,1190.3,2593338,361.46,8443210,2822.48
3/14/2019,170.17,18037364,183.73,23579508,1686.22,2946618,1192.53,1365072,358.82,5271429,2808.48
3/13/2019,173.37,11973280,181.71,31032524,1690.81,3552041,1199.06,1294354,361.21,6444092,2810.92
3/12/2019,171.92,12155264,180.91,32467584,1673.1,3614498,1197.25,2110979,356.27,5164571,2791.52
3/11/2019,172.07,18883983,178.9,32011034,1670.62,3876352,1179.26,1501633,358.86,5387285,2783.3
3/8/2019,169.6,13184831,172.91,23999358,1620.8,4667014,1149.97,1184732,349.6,6898838,2743.07
3/7/2019,169.13,18306504,172.5,24796374,1625.95,4957017,1150.85,1504328,352.6,6151331,2748.93
3/6/2019,172.51,21531723,174.52,20810384,1668.95,3996001,1164.94,1180052,359.61,6211895,2771.45
3/5/2019,171.26,28187890,175.53,19737419,1692.43,3681522,1169.19,2004723,354.3,5937754,2789.65
3/4/2019,167.37,18894689,175.85,27436203,1696.17,6167358,1153.42,1774467,351.04,7486996,2792.81
3/1/2019,162.28,11097770,174.97,25886167,1671.73,4974877,1148.52,1704258,357.32,5526539,2803.69
2/28/2019,161.45,11114185,173.15,28215416,1639.83,3025891,1126.55,1371355,358.1,6186763,2784.49
2/27/2019,162.81,12697485,174.87,27835389,1641.09,3148824,1122.89,1104881,362.87,5629945,2792.38
2/26/2019,164.13,13784063,174.33,17070211,1636.4,2665815,1122.01,1751261,364.97,4944593,2793.9
2/25/2019,164.62,18737106,174.23,21873358,1633,3184462,1117.33,1310362,363.91,7569320,2796.11
2/22/2019,161.89,15858468,172.97,18913154,1631.56,3096191,1116.56,1471783,363.02,7088214,2792.67
2/21/2019,160.04,15607828,171.06,17249670,1619.44,3483392,1104.21,1663980,356.97,6227897,2774.88
2/20/2019,162.56,11770692,172.03,26114362,1622.1,3337589,1120.59,1204533,359.91,8110741,2784.7
2/19/2019,162.29,14345390,170.93,18972826,1627.58,3681656,1126.51,1099259,361.92,7396559,2779.76
2/15/2019,162.5,15504415,170.42,24626814,1607.95,4343893,1119.63,1391348,356.87,9229980,2775.6
2/14/2019,163.95,12755151,170.8,21835747,1622.65,4120524,1129.2,1055297,359.07,9295338,2745.73
2/13/2019,164.07,14205146,170.18,22490233,1640,3560321,1128.63,1402087,351.77,10559146,2753.03
2/12/2019,165.04,16292290,170.89,22283523,1638.01,4858604,1127.58,1751771,359.97,10429399,2744.73
2/11/2019,165.79,12811176,169.43,20993425,1591,3317328,1102.12,924881,345.73,5454863,2709.8
2/8/2019,167.33,12561422,170.41,23819966,1588.22,5657457,1102.38,1088327,347.57,7561391,2707.88
2/7/2019,166.38,17517609,170.94,31741690,1614.37,4626589,1105.91,1914877,344.71,7864529,2706.05
2/6/2019,170.49,13281161,174.24,28239591,1640.26,3939883,1122.89,2412820,352.19,6717662,2731.61
2/5/2019,171.16,22556985,174.18,36101628,1658.81,4453105,1151.87,4114790,355.81,9046623,2737.7
2/4/2019,169.25,20036470,171.25,31495582,1633.31,4929187,1141.42,3920591,351.34,9051387,2724.87
2/1/2019,165.71,30806513,166.52,32668138,1626.23,11506213,1118.62,1655813,339.85,9827760,2706.53
1/31/2019,166.69,77233602,166.44,40739649,1718.73,10910338,1125.89,2011572,339.5,8535517,2704.1
1/30/2019,150.42,44613240,165.25,61109780,1670.43,5783822,1097.99,1472647,340.66,9234530,2681.05
1/29/2019,144.19,17631953,154.68,41587239,1593.88,4632782,1070.06,985248,328.9,7655189,2640
1/28/2019,147.47,15508483,156.3,26192058,1637.89,4837711,1079.86,1466714,335.66,8652082,2643.85
1/25/2019,149.01,22250954,157.76,33547893,1670.57,4959679,1101.51,1163788,338.05,11166609,2664.76
1/24/2019,145.83,20955518,152.7,25441549,1654.93,4089943,1084,1455948,326.67,11131627,2642.33
1/23/2019,144.3,20098415,153.92,23130570,1640.02,5225212,1084.41,1259738,321.99,13480138,2638.7
1/22/2019,147.57,22378694,153.3,30393970,1632.17,6416796,1078.63,1981594,325.16,17941416,2632.9
1/18/2019,150.04,31029612,156.82,33751023,1696.2,6020503,1107.3,2244569,339.1,26621040,2670.71
1/17/2019,148.3,15787914,155.86,29821160,1693.22,4208875,1099.12,1244801,353.19,18871195,2635.96
1/16/2019,147.54,18025714,154.94,30569706,1683.78,6366864,1089.51,1914041,351.39,15385548,2616.1
1/15/2019,148.95,24068822,153.07,28710324,1674.56,5998510,1086.51,1875852,354.64,21181234,2610.3
1/14/2019,145.39,20520278,150,32439186,1617.21,6005888,1051.51,1424486,332.94,10499582,2582.61
1/11/2019,143.8,12908031,152.29,27023241,1640.56,4686222,1064.47,1543238,337.59,19500429,2596.26
1/10/2019,144.2,16125004,153.8,35780670,1656.22,6507693,1078.83,1329861,324.66,13472475,2596.64
1/9/2019,144.23,22205879,153.31,45099081,1659.42,6348801,1081.65,1349912,319.96,13343152,2584.96
1/8/2019,142.53,26263793,150.75,41025314,1656.58,8881428,1085.37,1770654,320.27,15359180,2574.41
1/7/2019,138.05,20089337,147.93,54777764,1629.51,7993213,1075.92,2372667,315.34,18620116,2549.69
1/4/2019,137.95,29002059,148.26,58607070,1575.39,9182575,1078.07,2301428,297.57,19330102,2531.94
1/3/2019,131.74,22717948,142.19,91312195,1500.28,6975572,1025.47,2097957,271.2,14969647,2447.89
1/2/2019,135.68,28146193,157.92,37039737,1539.13,7983103,1054.68,1593395,267.66,11679528,2510.03
12/31/2018,131.09,24625308,157.74,35003466,1501.97,6954507,1044.96,1655504,267.66,13508920,2506.85
12/28/2018,133.2,22627569,156.23,42291424,1478.02,8828950,1046.68,1718352,256.08,10987286,2485.74
12/27/2018,134.52,31202509,156.15,53117065,1461.64,9722034,1052.9,2299806,255.565,12235217,2488.83
12/26/2018,134.18,39723370,157.17,58582544,1470.9,10411801,1047.85,2315862,253.67,14402735,2467.7
12/24/2018,124.06,22066002,146.83,37169232,1343.96,7219996,984.67,1817955,233.88,9547616,2351.1
12/21/2018,124.95,56901491,150.73,95744384,1377.45,13640320,991.25,5232490,246.39,21397595,2416.62
12/20/2018,133.4,40297944,156.83,64772960,1460.83,9991833,1023.58,2683670,260.58,16792928,2467.42
12/19/2018,133.24,57404894,160.89,49047297,1495.08,8792189,1035.46,2913237,266.77,13788448,2506.96
12/18/2018,143.66,24709084,166.07,33841518,1551.48,6522975,1043.41,2182019,270.94,10350079,2546.16
12/17/2018,140.19,24333959,163.94,44287922,1520.91,8829762,1025.65,2496551,262.8,9634734,2545.94
12/14/2018,144.06,21785820,165.48,40703710,1591.91,6367163,1051.71,1817949,266.84,9915319,2599.95
12/13/2018,145.01,18148610,170.95,31897827,1658.38,5271162,1073.54,1249403,276.02,8379292,2650.54
12/12/2018,144.5,23696936,169.1,35627674,1663.54,6597968,1073.73,1447973,274.88,11456716,2651.07
12/11/2018,142.08,20300349,168.63,47281665,1643.24,6244695,1061.65,1692576,265.32,9843199,2636.78
12/10/2018,141.85,26422173,169.6,62025994,1641.03,7494808,1053.18,1682646,269.7,9605553,2637.72
12/7/2018,137.42,21195460,168.49,42281631,1629.13,7576132,1046.58,2134111,265.14,12466711,2633.08
12/6/2018,139.63,28218145,174.72,43098410,1699.19,8789394,1078.08,2371825,282.88,13074324,2695.95
12/4/2018,137.93,30307400,176.69,41344282,1668.4,8694455,1062.47,2281485,275.33,12800586,2700.06
12/3/2018,141.09,24819226,184.82,40798002,1772.36,6862160,1116.36,2876449,290.3,14117370,2790.37
11/30/2018,140.61,25732577,178.58,39531549,1690.17,5761761,1109.65,2983340,286.13,11860117,2760.17
11/29/2018,138.68,24238713,179.55,41769992,1673.57,6613243,1094.58,1550523,288.75,15431538,2737.76
11/28/2018,136.76,29847505,180.94,46062539,1677.75,8458738,1091.79,2302121,282.65,14801333,2743.79
11/27/2018,135,20750318,174.24,41387377,1581.42,5783227,1052.28,1652433,266.63,11149501,2682.17
11/26/2018,136.38,24263640,174.62,44998520,1581.33,6257716,1055.94,1577941,261.43,12498560,2673.45
11/23/2018,131.73,11886128,172.29,23623972,1502.06,2707642,1030.1,708859,258.82,5245123,2632.56
11/21/2018,134.82,25469735,176.78,31124210,1516.73,5716800,1043.43,1485172,262.13,11023037,2649.93
11/20/2018,132.43,41939475,176.98,67825247,1495.46,10878823,1030.45,2722934,266.98,16693809,2641.89
11/19/2018,131.55,44362729,185.86,41920872,1512.29,7789981,1027.42,2284191,270.6,12993797,2690.73
11/16/2018,139.53,37250560,193.53,36928253,1593.41,6066080,1068.27,1768308,286.21,9099485,2736.27
11/15/2018,143.85,30320280,191.41,46478801,1619.44,8427337,1071.05,2079154,290.06,9967098,2730.2
11/14/2018,144.22,22068384,186.8,60800957,1599.01,6486891,1054.58,1733302,286.73,16853574,2701.58
11/13/2018,142.16,15141710,192.23,46882936,1631.17,5933271,1047.97,1287475,294.4,12232162,2722.18
11/12/2018,141.55,18542123,194.17,51135518,1636.85,6806245,1049.36,1700091,294.07,10924827,2726.22
11/9/2018,144.96,17326898,204.47,34365750,1712.43,5902186,1077.02,1743298,303.47,13480792,2781.01
11/8/2018,147.87,24145814,208.49,25362636,1754.91,6534866,1094.63,1685193,317.92,11023853,2806.83
11/7/2018,151.53,21877372,209.95,33424434,1755.49,8192234,1108.24,2169392,327.5,13328328,2813.89
11/6/2018,149.94,16667124,203.77,31882881,1642.81,4257353,1069.57,1433013,310.84,9710424,2755.45
11/5/2018,148.68,15969849,201.59,66163669,1627.8,5624727,1055.73,2267870,315.44,10283044,2738.31
11/2/2018,150.35,24708695,207.48,91328654,1665.53,6955548,1071.49,2172215,309.1,13404646,2723.06
11/1/2018,151.75,25640786,222.22,58323180,1665.53,8135539,1085.98,2006575,317.38,15121450,2740.37
10/31/2018,151.79,60101251,218.86,38358933,1598.01,9390211,1090.58,3545821,301.78,20360342,2711.74
10/30/2018,146.22,50528278,213.3,36659990,1530.42,12460086,1049.51,2988418,285.81,23685702,2682.63
10/29/2018,142.09,31336784,212.24,45935520,1538.88,13866077,1034.73,4064452,284.84,21698841,2641.25
10/26/2018,145.37,31303341,216.3,47258375,1642.81,14963783,1083.75,5321883,299.83,19616041,2658.69
10/25/2018,150.95,22105696,219.8,29855768,1782.17,10285742,1103.59,3647814,312.87,13346921,2705.57
10/24/2018,146.04,27744597,215.09,40925163,1664.2,6928383,1057.12,2464295,301.83,19039297,2656.1
10/23/2018,154.39,19095032,222.73,38767846,1768.7,6723913,1114.91,1884255,333.16,14907326,2740.69
10/22/2018,154.78,15424658,220.65,28792082,1789.3,4500015,1111.37,1355842,329.54,17097175,2755.88
10/19/2018,154.05,19761347,219.31,33078726,1764.03,5907246,1105.18,2064289,332.67,16717233,2767.78
10/18/2018,154.92,21675084,216.02,32581315,1770.72,5873995,1097.91,2307596,346.71,18461040,2768.78
10/17/2018,159.42,17592003,221.19,22885397,1831.73,5295177,1127.59,1782614,364.7,32610947,2809.21
10/16/2018,158.78,19180095,222.15,29183963,1819.96,5859918,1133.08,1918879,346.4,20156418,2809.92
10/15/2018,153.52,15433521,217.36,30791007,1760.95,6437162,1102.44,1503956,333.13,11214956,2750.79
10/12/2018,153.74,25293492,222.11,40337851,1788.61,9444587,1120.54,2468920,339.56,14870830,2767.13
10/11/2018,153.35,35338901,214.45,53124392,1719.36,13935872,1090.74,3384775,321.1,16082056,2728.37
10/10/2018,151.38,30609970,216.36,41990554,1755.25,10988855,1092.16,2949006,325.89,17183120,2785.68
10/9/2018,157.9,18844425,226.87,26891029,1870.32,4772866,1145.17,1684728,355.71,8754990,2880.34
10/8/2018,157.25,24045968,223.77,29663923,1864.42,7393199,1155.92,2309539,349.1,12375496,2884.43
10/5/2018,157.33,25744047,224.29,33580463,1889.65,6822327,1167.83,1593012,351.35,13522957,2885.57
10/4/2018,158.85,25739635,227.99,32042000,1909.42,7256973,1177.07,2328778,363.65,9074350,2901.61
10/3/2018,162.43,23109456,232.07,28654799,1952.76,5253131,1211.53,1312686,377.05,5798605,2925.51
10/2/2018,159.33,36030977,229.28,24788170,1971.31,5400749,1207.64,2008956,377.14,8638717,2923.43
10/1/2018,162.44,26407677,227.26,23600802,2004.36,3468285,1208.53,1659364,381.43,8376560,2924.59
9/28/2018,164.46,34265638,225.74,22929364,2003,4085135,1207.08,1780759,374.13,7114878,2913.98
9/27/2018,168.84,27266856,224.95,30181227,2012.98,4329391,1207.36,1813652,380.71,7326246,2914
9/26/2018,166.95,25252231,220.42,23984706,1974.85,4313459,1194.06,1882524,377.88,13799728,2905.97
9/25/2018,164.91,27622806,222.19,24554379,1974.55,4538407,1193.89,1657809,369.43,6799816,2915.56
9/24/2018,165.41,19222775,220.79,27693358,1934.36,4213728,1179.56,1557479,369.61,9322522,2919.37
9/21/2018,162.93,45994800,217.66,96246748,1915.01,6855898,1172.12,4561119,361.19,11930568,2929.67
9/20/2018,166.02,18936038,220.03,26608794,1944.3,3154934,1191.57,1462455,365.36,6768086,2930.75
9/19/2018,163.06,19628996,218.37,27123833,1926.42,4056822,1174.27,1298084,366.96,11876841,2907.95
9/18/2018,160.3,22465236,218.24,31571712,1941.05,4268706,1167.11,1615701,367.65,10413981,2904.31
9/17/2018,160.58,21005321,217.88,37195133,1908.03,7050192,1159.83,1704790,350.35,7071945,2888.8
9/14/2018,162.32,21770405,223.84,31999289,1970.19,3642030,1177.98,1208767,364.56,4756426,2904.98
9/13/2018,161.36,25453775,226.41,41706377,1989.87,3621511,1182.14,2003418,368.15,8366122,2904.18
9/12/2018,162,24078118,221.07,49278740,1990,4414012,1171.6,1785833,369.95,10480769,2888.92
9/11/2018,165.94,20457088,223.85,35749049,1987.15,5033645,1189.99,1462688,355.93,6198063,2887.89
9/10/2018,164.18,20197680,218.33,39516453,1939.01,4544831,1175.06,1383938,348.41,5752184,2877.13
9/7/2018,163.04,24300600,221.3,37619810,1952.07,4892643,1177.59,1633190,348.68,9105817,2871.68
9/6/2018,162.53,41514834,223.1,34289976,1958.31,7488680,1183.99,2342722,346.46,13050156,2878.05
9/5/2018,167.18,31226744,226.87,33332960,1994.82,8220576,1199.1,2699394,341.18,13092847,2888.6
9/4/2018,171.16,29808971,228.36,27390132,2039.51,5721093,1211.31,2072869,363.6,7605161,2896.72
8/31/2018,175.73,18065159,227.63,43340134,2012.71,4204378,1231.8,2115424,367.68,7943443,2901.52
8/30/2018,177.64,24216532,225.03,48793824,2002.38,7277257,1254.44,1505219,370.98,10981013,2901.13
8/29/2018,175.9,18678301,222.98,27254804,1998.1,6531761,1264.65,1846615,368.04,8118734,2914.04
8/28/2018,176.26,15910675,219.7,22776766,1932.82,3100727,1245.86,1366516,368.49,9222617,2897.52
8/27/2018,177.46,17921935,217.94,20525117,1927.68,3569037,1256.27,1428992,364.58,17427304,2896.74
8/24/2018,174.645,14631556,216.16,18476356,1905.39,2800863,1236.75,1222653,358.82,14729137,2874.69
8/23/2018,172.9,18053567,215.49,18883224,1902.9,3562997,1221.16,1233347,339.17,11336425,2856.98
8/22/2018,173.64,16894083,215.05,19018131,1904.9,3080464,1221.75,1114832,344.44,8930669,2861.82
8/21/2018,172.62,19578514,215.04,26159755,1883.42,3105626,1217.41,1154093,338.02,14783246,2862.96
8/20/2018,172.5,21518006,215.46,30287695,1876.71,2862016,1221.95,1111173,327.73,13591100,2857.05
8/17/2018,173.8,24893176,217.58,35426997,1882.22,4104300,1215.85,1654629,316.78,10407908,2850.13
8/16/2018,174.7,31351784,213.32,28500367,1886.52,3957090,1224.06,1608799,322.44,6689733,2840.69
8/15/2018,179.53,33020231,210.24,28807564,1882.62,7700682,1232.22,1852558,326.4,11784485,2818.37
8/14/2018,181.11,19101995,209.75,20748010,1919.65,3986123,1258.14,1403991,337.49,5805182,2839.96
8/13/2018,180.05,17423264,208.87,25890880,1896.2,5531475,1248.64,1380882,341.31,6893649,2821.93
8/10/2018,180.26,21500410,207.53,24611202,1886.3,3639927,1252.51,1334387,345.87,4337481,2833.28
8/9/2018,183.09,19732120,208.88,23492626,1898.52,4860374,1264.46,1366318,349.36,4820313,2853.58
8/8/2018,185.18,22205230,207.25,22525487,1886.52,3963017,1261.33,1718664,347.61,5402465,2857.7
8/7/2018,183.81,33398562,207.11,25587387,1862.48,3377473,1255.84,2125256,351.83,7970930,2858.45
8/6/2018,185.69,49716192,209.07,25425387,1847.75,3391825,1237.67,1105916,350.92,8198076,2850.4
8/3/2018,177.78,24763434,207.99,33447396,1823.29,3460487,1238.16,1063244,343.09,8848367,2840.35
8/2/2018,176.37,32399954,207.39,62404012,1834.33,4354681,1241.13,1735180,344.5,7131328,2827.22
8/1/2018,171.65,34042109,201.5,67935716,1797.17,4153096,1232.99,1849740,338.38,7790477,2813.36
7/31/2018,172.58,40356471,190.29,39373038,1777.44,5738713,1227.22,1969111,337.45,14085369,2816.29
7/30/2018,171.06,65280787,189.91,21029535,1779.22,6562321,1230.04,2194837,334.96,18260710,2802.6
7/27/2018,174.89,60073749,190.98,24023972,1817.27,9680959,1252.89,2418090,355.21,8949491,2818.82
7/26/2018,176.26,169803668,194.21,19075964,1808,9924371,1285.5,2734302,363.09,6993684,2837.44
7/25/2018,217.5,64592585,194.82,16826483,1863.61,3836333,1275.94,2575437,362.87,8516248,2846.07
7/24/2018,214.67,28468681,193,18697898,1829.24,4278723,1258.15,5380032,357.32,12851457,2820.4
7/23/2018,210.91,16731969,191.61,15989365,1802,3888462,1211,3272304,362.66,11505232,2806.98
7/20/2018,209.94,16241508,191.44,20706042,1813.7,3891566,1197.88,1898376,361.05,15113740,2801.83
7/19/2018,208.09,11350429,191.88,20286752,1812.97,4676942,1199.1,1916892,364.23,16878681,2804.49
7/18/2018,209.36,15334907,190.4,16393381,1842.92,4861913,1212.91,1947397,375.13,21746266,2815.62
7/17/2018,209.99,15349892,191.45,15534523,1843.93,5682881,1213.08,2008133,379.48,58410362,2809.55
7/16/2018,207.23,11078209,190.91,15043110,1822.49,5466195,1196.51,1339237,400.48,22959984,2798.43
7/13/2018,207.32,11503401,191.33,12519792,1813.03,4386679,1204.42,1631857,395.8,15747266,2801.31
7/12/2018,206.92,15454706,191.03,18041131,1796.62,4532743,1201.26,2207431,413.5,12743273,2798.29
7/11/2018,202.54,12927377,187.88,18831470,1755,3209782,1171.46,1662633,418.65,9713904,2774.02
7/10/2018,203.54,13190067,190.35,15939149,1743.07,3002905,1167.14,1066704,415.63,9382944,2793.84
7/9/2018,204.74,18149437,190.58,19756634,1739.02,3011988,1167.28,1079201,418.97,11127477,2784.17
7/6/2018,203.23,19740131,187.97,17485245,1710.63,2650262,1155.08,1090967,408.25,8629606,2759.82
7/5/2018,198.45,19684193,185.4,16604248,1699.73,2983110,1141.29,1429710,398.39,8448937,2736.61
7/3/2018,192.73,13489514,183.92,13954806,1693.96,2177276,1116.28,822394,390.52,5280344,2713.22
7/2/2018,197.36,13961578,187.18,17731343,1713.78,3185696,1142.11,1161040,398.18,8142457,2726.71
6/29/2018,194.32,15811602,185.11,22737666,1699.8,4543508,1129.19,1578116,391.43,9252511,2718.37
6/28/2018,196.23,18172439,185.5,17365235,1701.45,4529700,1126.78,1486675,395.42,12219888,2716.31
6/27/2018,195.84,18734408,184.16,25285328,1660.51,4872201,1116.94,1726866,390.39,16541426,2699.63
6/26/2018,199,17897576,184.43,24569201,1691.09,4386585,1132.62,1734414,399.39,15191157,2723.06
6/25/2018,196.35,25275137,182.17,31663096,1663.15,7511196,1139.28,2884131,384.48,22490922,2717.07
6/22/2018,201.74,17420188,184.92,27200447,1715.67,4075124,1169.29,1711003,411.09,10428621,2754.88
6/21/2018,201.5,19045717,185.46,25711898,1730.22,4941148,1169.44,2248277,415.44,18389936,2749.76
6/20/2018,202,28230933,186.5,20628701,1750.08,4332591,1184.07,2584260,416.76,16494572,2767.32
6/19/2018,197.49,19993996,185.69,33578455,1734.78,4290117,1178.69,2364127,404.98,16697104,2762.59
6/18/2018,198.31,16826023,188.74,18484865,1723.79,3107742,1183.58,1651913,390.4,6824794,2773.75
6/15/2018,195.85,21860931,188.84,61719160,1715.97,4777646,1159.27,2221891,391.98,13588114,2779.66
6/14/2018,196.81,19120866,190.8,21610074,1723.86,3174415,1160.11,1771120,392.87,14598333,2782.49
6/13/2018,192.41,15853821,190.7,21638393,1704.86,3327529,1144.23,1715074,379.93,18222799,2775.63
6/12/2018,192.4,11562704,192.28,16911141,1698.75,2259215,1148.19,1304612,363.83,4290969,2786.85
6/11/2018,191.54,12928907,191.23,18308460,1689.12,2335484,1140.9,1239770,361.45,4432445,2782
6/8/2018,189.1,12677092,191.7,26656799,1683.99,2955110,1132.71,1364226,360.57,5225736,2779.03
6/7/2018,188.18,21503171,193.46,21347180,1689.3,3765687,1134.42,1805388,361.4,8278040,2770.37
6/6/2018,191.34,22558920,193.98,20933619,1695.75,5473213,1146.95,1746719,367.45,7712302,2772.35
6/5/2018,192.94,15544294,193.31,21565963,1696.35,4782177,1151.02,1648222,365.8,8358045,2748.8
6/4/2018,193.28,18939795,191.83,26266174,1665.27,3187737,1153.04,2237701,361.81,7681995,2746.87
6/1/2018,193.99,17307245,190.24,23442510,1641.54,3313385,1135,3160100,359.93,7112292,2734.62
5/31/2018,191.78,30782631,186.87,27482793,1629.62,3166330,1100,3968362,351.6,6921687,2705.27
5/30/2018,187.67,13736866,187.5,18690547,1624.89,2907357,1077.47,1434282,353.54,5685531,2724.01
5/29/2018,185.74,16398937,187.9,22514075,1612.87,3846477,1068.07,1803805,349.73,9717921,2689.86
5/25/2018,184.92,10965061,188.58,17460963,1610.15,2698400,1084.08,1111161,351.29,7817400,2721.33
5/24/2018,185.93,12354742,188.15,23233975,1603.07,3429975,1085.45,1030194,349.29,14758553,2727.76
5/23/2018,186.9,16628100,188.36,20058415,1601.86,3361892,1085.96,1186998,344.72,10049147,2733.29
5/22/2018,183.8,12731419,187.16,15240704,1581.4,2115639,1075.31,1111299,331.62,5964448,2724.44
5/21/2018,184.49,13532864,187.63,18400787,1585.46,2925235,1084.01,1258999,331.82,6657326,2733.01
5/18/2018,182.68,13130451,186.31,18297728,1574.37,2642584,1069.64,1774149,324.18,3577717,2712.97
5/17/2018,183.76,14840675,186.99,17294029,1581.76,2147606,1081.26,1286907,325.22,4935708,2720.13
5/16/2018,183.2,16975495,188.18,19183064,1587.28,2570572,1084.09,1281406,328.19,3671690,2722.46
5/15/2018,184.32,15429433,186.44,23695159,1576.12,5077465,1084.87,1786926,326.13,4746096,2711.45
5/14/2018,186.64,15646744,188.15,20778772,1601.54,2509483,1106.6,1966893,328.53,4089800,2730.13
5/11/2018,186.99,21207848,188.59,26212221,1602.91,2263900,1103.38,1525218,326.46,4589731,2727.72
5/10/2018,185.53,21071403,190.04,27989289,1609.08,2817450,1105.47,1820676,329.6,5302254,2723.07
5/9/2018,182.66,23282811,187.36,23211241,1608,3637302,1088.95,2357979,330.3,5633444,2697.79
5/8/2018,178.92,15577211,186.05,28402777,1592.39,3067949,1058.59,1301524,326.89,4735738,2671.92
5/7/2018,177.97,18697195,185.16,42451423,1600.14,3801855,1059.46,1719971,326.26,7117823,2672.63
5/4/2018,176.61,17677844,183.83,56201317,1580.95,3443567,1051,1844600,320.09,8209513,2663.42
5/3/2018,174.02,24026071,176.89,34068180,1572.08,4251917,1026.3,1964066,311.69,6135828,2629.73
5/2/2018,176.07,30424450,176.57,66539371,1569.68,4360273,1026.05,1734872,313.36,5697120,2635.67
5/1/2018,173.86,26025932,169.1,53569376,1582.26,4572071,1040.75,1766256,313.3,6036639,2654.8
4/30/2018,172,20750478,165.26,42427424,1566.13,5464085,1018.58,1724632,312.46,6088787,2648.05
4/27/2018,173.59,29804657,162.32,35655839,1572.62,13053241,1031.45,2037263,311.76,7074384,2669.91
4/26/2018,174.16,77556934,164.22,27963014,1517.96,8801101,1043.31,2546332,313.98,9266699,2666.94
4/25/2018,159.69,41083581,163.65,28382084,1460.17,6587290,1022.99,2893047,305.76,14919698,2639.4
4/24/2018,159.69,35079926,162.94,33692017,1460.09,7494699,1022.64,6411038,307.02,13893217,2634.56
