,FBCLOSE,FBVOLUME,AAPLCLOSE,AAPLVOLUME,AMZNCLOSE,AMZNVOLUME,GOOGLCLOSE,GOOGLVOLUME,NFLXCLOSE,NFLXVOLUME,SP500
1/25/2021,278.01,19086990,142.92,157611713,3294,3749758,1894.28,2529346,556.78,7207329,3855.36
1/22/2021,274.5,21954042,139.07,114459360,3292.23,2821914,1892.56,1637195,565.17,7550822,3841.47
1/21/2021,272.87,20838687,136.87,120529544,3306.99,4945051,1884.15,2932973,579.84,11840634,3853.07
1/20/2021,267.48,25199919,132.03,104319489,3263.38,5309835,1880.07,3207570,586.34,32637450,3851.85
1/19/2021,261.1,28028546,127.83,90757329,3120.76,3305142,1784.47,2082951,501.77,12315813,3798.91
1/15/2021,251.36,24942930,127.14,111598531,3104.25,4243995,1727.62,1572214,497.98,5895788,3768.25
1/14/2021,245.64,29739404,128.91,90221755,3127.47,3070919,1730.92,1460617,500.86,4177357,3795.54
1/13/2021,251.64,19528938,130.89,88636831,3165.89,3321244,1747.25,1171590,507.79,5032099,3809.84
1/12/2021,251.09,25772128,128.8,90440255,3120.83,3418549,1737.43,1460563,494.25,5955729,3801.19
1/11/2021,256.84,30412286,128.98,100620880,3114.21,3669095,1756.29,1740618,499.1,3812720,3799.61
1/8/2021,267.57,18528251,132.05,105158245,3182.7,3537744,1797.83,1774226,510.4,2973949,3824.68
1/7/2021,268.74,15789756,130.92,109578157,3162.16,3514545,1774.34,2096829,508.89,3686448,3803.79
1/6/2021,263.31,24354149,126.6,155087970,3138.38,4394815,1722.88,2329401,500.49,5346210,3748.14
1/5/2021,270.97,9871557,131.01,97664898,3218.51,2655548,1740.05,1017962,520.8,3133872,3726.86
1/4/2021,268.94,15106113,129.41,143301887,3186.63,4411449,1726.13,1866195,522.86,4444407,3700.65
12/31/2020,273.16,12900408,132.69,99116586,3256.93,2957206,1752.64,1053479,540.73,5392322,3756.07
12/30/2020,271.87,11803795,133.72,96452124,3285.85,3209310,1736.25,1051308,524.59,1876286,3732.04
12/29/2020,276.78,16382995,134.87,121047324,3322,4872933,1757.76,986287,530.87,4022358,3727.04
12/28/2020,277,23123385,136.69,123124632,3283.96,5620728,1773.96,1379642,519.12,2869734,3735.36
12/24/2020,267.4,6702033,131.97,54930064,3172.69,1451917,1734.16,465638,513.97,1143952,3703.06
12/23/2020,268.11,14329038,130.96,88223692,3185.27,2093787,1728.23,1148684,514.48,2393187,3690.01
12/22/2020,267.09,17334999,131.88,169351825,3206.52,2381781,1720.22,1018829,527.33,1908529,3687.26
12/21/2020,272.79,16553740,128.23,121251553,3206.18,3836846,1734.56,1698707,528.91,3893964,3694.92
12/18/2020,276.4,26693249,126.655,192541496,3201.65,5995713,1726.22,4262837,534.45,4502692,3709.41
12/17/2020,274.48,16377844,128.7,94359811,3236.08,3474347,1740.51,1744005,532.9,3193377,3722.48
12/16/2020,275.67,15884999,127.81,98208591,3240.96,4427616,1757.19,1233836,524.83,3682392,3701.17
12/15/2020,275.55,23979461,127.88,157572262,3165.12,3323686,1761.08,1068292,519.78,3398209,3694.62
12/14/2020,274.19,16376880,121.78,79075988,3156.97,4155794,1752.26,1652471,522.42,5770424,3647.49
12/11/2020,273.55,14391401,122.41,86939786,3116.42,3064695,1774.8,931431,503.22,3210928,3663.46
12/10/2020,277.12,20065091,123.24,81312170,3101.49,3030186,1767.65,1434416,501.09,3018203,3668.1
12/9/2020,277.92,25189707,121.78,115089193,3104.2,4100836,1777.86,1586426,493.6,4178768,3672.82
12/8/2020,283.4,10747650,124.38,82225512,3177.29,3286303,1811.33,996768,512.66,4228950,3702.25
12/7/2020,285.58,13007665,123.75,86711990,3158,2751316,1817.03,1114391,515.78,4289293,3691.96
12/4/2020,279.7,10880299,122.25,78260421,3162.58,2913611,1823.76,1027242,498.31,3666243,3699.12
