,beat,population,square_mileage,households,percent_white,percent_hispanic,percent_black,percent_asian,percent_mixed,percent_other,med_income,percent_on_fs,percent_bachelors,percent_high_school,percent_no_high_school
0,111,1982.5854540535,0.1067971413,987.8387308643,64.16457543434451,9.57163774172829,4.275518373212709,20.8137969895932,0.8763764753229718,0.2980948375020469,84026.5014610791,0.5109414957018271,80.73583043123446,17.439797347404046,1.8249770030888828
1,112,1075.2823547172,0.0860599644999999,451.5074692896,62.1131576054511,5.2245508685367605,10.79173613816243,18.980261464066917,2.311590066242385,0.5787036150831819,96400.6504483955,1.0227025137292365,80.78138056677258,16.16314886126092,3.055053434246978
2,113,1072.9518668195,0.0875577251999999,358.12784670339994,57.18616193032086,7.053985743521936,13.076308714200945,19.65538178132253,2.609474634281064,0.4186874567184783,101646.7576827919,1.5496198412898547,80.14189910090901,15.338368781492973,4.519615985917319
3,114,16145.434609535,0.6681101715,8563.0657117235,66.78360038283816,6.55032384119178,7.719142561869965,16.94831670759781,1.6619735928856991,0.3366427675511511,110367.1822424971,0.4413030465953781,82.73362743258936,16.564154100876465,0.7025406181825219
4,121,6400.4967745848,0.2642662481,3632.5147418855,48.64934947679889,6.675988433102814,4.641609791997309,37.514341935839184,2.051079357195928,0.4676308504294434,101550.3823720453,0.559203286813262,92.67503173932124,6.842914981737239,0.4823130021800331
5,122,4247.3190802394,0.2912123236,1851.1915225382,54.81566310812398,7.627290895146032,12.953006620573712,21.78830834872521,2.385945887154493,0.4297855327405986,82737.3089766553,2.033511986489944,77.16045262647584,17.102144368907222,5.737100959104376
6,123,12310.4368415824,0.3281185071999999,6414.1396122887,58.55627052216455,4.034362259905476,16.736601987583573,16.16408339061849,4.4459052314235175,0.0627761604356408,92468.26321565131,5.614835851616165,83.32855153641772,15.376707745194633,1.2959406188218436
7,124,3296.7770042922,0.5049563823,830.4149417491001,44.61317063078011,12.528155374566326,16.188530675173237,23.278566818175367,3.090728935576769,0.3008468199816685,110929.12461506788,0.695305981746716,77.47621524732325,17.411552187649384,5.112275081273884
8,131,11154.211806994,0.5734721234000001,6120.667502833,42.46012053725966,4.850027154683303,22.27171784105728,27.287990775939708,2.9517244291636677,0.1784194805653712,90091.03323450813,10.889242944781884,73.47334885992221,20.542192374863784,5.983544794674846
9,132,11872.8172091983,1.0441161711,6838.993242897,46.03111080543142,4.590415159567686,24.90776641130303,22.08346703618073,2.3872405876299894,0.0,93507.0074672094,7.86027523911528,78.88904461063049,19.33931563970744,1.7716495310478673
10,133,6579.018816196,0.7039747306999999,3802.5056894631,6.844723980000309,3.0828768723110698,69.91413598888191,17.104022056716616,2.723105705239295,0.3311357229784669,33344.1803444219,24.517540468462386,51.279096516464136,38.93736837942591,9.784322026044627
