TICKER,PERMNO,RET,alpha,R2,exret,Year,boardid,boardname,GenderRatio,NationalityMix,NumberDirectors,STDEVTimeBrd,STDEVTimeInCo,STDEVTotNoLstdBrd,STDEVNoQuals,STDEVAge
MSFT,10107,-6,0.0047,46.2,0.6,2022,20601,MICROSOFT,0.583,0.4,12,2.6,5.4,2.3,0.7,5.6
BA,19561,6.49,0.0034,35.86,13.07,2022,4730,BOEING,0.75,0,12,4.4,4.4,2.7,0.8,4.9
JNJ,22111,-0.76,0.0033,35.13,2.26,2022,17478,JOHNSON & JOHNSON,0.643,0.3,14,4.3,4.7,2.7,1.8,5.4
MCD,43449,-3.39,0.0077,31.73,0.42,2022,19944,MCDONALDS,0.733,0.2,15,8.3,8.2,4.9,0.6,6.7
NKE,57665,6.98,0.0079,32.33,12.45,2022,22209,NIKE,0.636,0,11,5.7,11.3,2.7,0.9,7.2
