Ticker,Name,GICS Sector,GICS Subsector,Headquarters
THS,"TreeHouse Foods, Inc.",Consumer Staples,Packaged Foods & Meats,"Oak Brook, Illinois"
TILE,"Interface, Inc.",Industrials,Office Services & Supplies,"Atlanta, Georgia"
TMP,Tompkins Financial Corporation,Financials,Regional Banks,"Ithaca, New York"
TMST,TimkenSteel Corporation,Materials,Steel,"Canton, Ohio"
TNC,Tennant Company,Industrials,Industrial Machinery,"Eden Prairie, Minnesota"
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,"San Diego, California"
TPH,"Tri Pointe Homes, Inc.",Consumer Discretionary,Homebuilding,"Incline Village, Nevada"
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Needham, Massachusetts"
TRMK,Trustmark Corp.,Financials,Regional Banks,"Jackson, Mississippi"
TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Trucks,"Dallas, Texas"
TRST,TrustCo Bank Corp NY,Financials,Regional Banks,"Glenville, New York"
TRUP,Trupanion,Financials,Life & Health Insurance,"Seattle, Washington"
TTEC,"TTEC Holdings, Inc.",Industrials,Data Processing & Outsourced Services,"Greenwood Village, Colorado"
TTGT,TechTarget,Communication Services,Interactive Media & Services,"Newton, Massachusetts"
TTMI,"TTM Technologies, Inc.",Information Technology,Electronic Manufacturing Services,"Santa Ana, California"
TWI,"Titan International, Inc.",Materials,Agricultural & Farm Machinery,"Quincy, Illinois"
TWO,Two Harbors Investment Corp.,Financials,Mortgage REITs,"St. Louis Park, Minnesota"
UCBI,"United Community Banks, Inc.",Financials,Regional Banks,"Greenville, South Carolina"
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,Semiconductor Equipment,"Hayward, California"
UE,Urban Edge Properties,Real Estate,Retail REITs,"Paramus, New Jersey"
UFCS,"United Fire Group, Inc.",Financials,Property & Casualty Insurance,"Cedar Rapids, Iowa"
UFPT,"UFP Technologies, Inc.",Health Care,Health Care Equipment,"Newburyport, Massachusetts"
UHT,Universal Health Realty Income Trust,Real Estate,Health Care REITs,"King of Prussia, Pennsylvania"
UNF,UniFirst Corporation,Industrials,Diversified Support Services,"Wilmington, Massachusetts"
UNFI,United Natural Foods Inc,Consumer Staples,Food Retail,"Providence, Rhode Island"
UNIT,Uniti Group,Real Estate,Specialized REITs,"Little Rock, Arkansas"
UPBD,"Upbound Group, Inc.",Consumer Discretionary,Computer & Electronics Retail,"Plano, Texas"
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania"
USNA,"Usana Health Sciences, Inc.",Consumer Staples,Packaged Foods & Meats,"West Valley City, Utah"
USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities,"Houston, Texas"
UTL,Unitil Corporation,Utilities,Electric Utilities,"Hampton, New Hampshire"
UVV,Universal Corporation,Consumer Staples,Tobacco,"Richmond, Virginia"
VBTX,"Veritex Holdings, Inc.",Financials,Regional Banks,"Dallas, Texas"
VCEL,Vericel,Health Care,Biotechnology,"Cambridge, Massachusetts"
VECO,Veeco Instruments Inc.,Information Technology,Semiconductor Equipment,"Plainview, New York"
VGR,Vector Group,Consumer Staples,Tobacco,"Miami, Florida"
VIAV,VIAVI Solutions,Information Technology,Communications Equipment,"Chandler, Arizona"
