fips,state,county,population,vaccinationRate,cases,deaths,Region
29179,MO,Reynolds County,6270,0.252,851,16,Plains
29181,MO,Ripley County,13288,0.277,2160,52,Plains
29183,MO,St. Charles County,402022,0.585,73141,748,Plains
29185,MO,St. Clair County,9397,0.331,1442,29,Plains
29186,MO,Ste. Genevieve County,17894,0.434,2763,34,Plains
29187,MO,St. Francois County,67215,0.416,13760,228,Plains
29189,MO,St. Louis County,994205,0.605,154468,2739,Plains
29195,MO,Saline County,22761,0.447,4696,86,Plains
29197,MO,Schuyler County,4660,0.271,552,22,Plains
29199,MO,Scotland County,4902,0.251,514,16,Plains
29201,MO,Scott County,38280,0.418,8036,134,Plains
29203,MO,Shannon County,8166,0.293,1197,29,Plains
29205,MO,Shelby County,5930,0.452,1136,13,Plains
29207,MO,Stoddard County,29025,0.38,4812,110,Plains
29209,MO,Stone County,31952,0.364,4423,100,Plains
29211,MO,Sullivan County,6089,0.409,1346,19,Plains
29213,MO,Taney County,55928,0.389,10027,178,Plains
29215,MO,Texas County,25398,0.311,3533,73,Plains
29217,MO,Vernon County,20563,0.335,3587,87,Plains
29219,MO,Warren County,35649,0.401,6037,75,Plains
29221,MO,Washington County,24730,0.3,4489,102,Plains
29223,MO,Wayne County,12873,0.347,1837,37,Plains
29225,MO,Webster County,39592,0.408,6544,119,Plains
29227,MO,Worth County,2013,0.389,318,3,Plains
29229,MO,Wright County,18289,0.345,2904,67,Plains
29510,MO,St. Louis city,300576,0.548,38978,638,Plains
30001,MT,Beaverhead County,9453,0.523,1611,23,Rocky Mountain
30003,MT,Big Horn County,13319,0.828,3460,84,Rocky Mountain
30005,MT,Blaine County,6681,0.793,1444,28,Rocky Mountain
30007,MT,Broadwater County,6237,0.316,1014,17,Rocky Mountain
30009,MT,Carbon County,10725,0.459,1613,23,Rocky Mountain
30011,MT,Carter County,1252,0.295,208,5,Rocky Mountain
30013,MT,Cascade County,81366,0.513,17154,283,Rocky Mountain
30015,MT,Chouteau County,5635,0.31,799,9,Rocky Mountain
30017,MT,Custer County,11402,0.421,2434,41,Rocky Mountain
30019,MT,Daniels County,1690,0.405,313,9,Rocky Mountain
30021,MT,Dawson County,8613,0.363,1880,52,Rocky Mountain
30023,MT,Deer Lodge County,9140,0.559,1698,28,Rocky Mountain
30025,MT,Fallon County,2846,0.324,562,10,Rocky Mountain
30027,MT,Fergus County,11050,0.452,1904,51,Rocky Mountain
30029,MT,Flathead County,103806,0.402,21480,225,Rocky Mountain
30031,MT,Gallatin County,114434,0.567,23574,104,Rocky Mountain
30033,MT,Garfield County,1258,0.187,167,3,Rocky Mountain
30035,MT,Glacier County,13753,0.539,2505,63,Rocky Mountain
30037,MT,Golden Valley County,821,0.44,122,5,Rocky Mountain
30039,MT,Granite County,3379,0.355,409,6,Rocky Mountain
30041,MT,Hill County,16484,0.656,3437,71,Rocky Mountain
30043,MT,Jefferson County,12221,0.476,1954,21,Rocky Mountain
30045,MT,Judith Basin County,2007,0.383,165,1,Rocky Mountain
30047,MT,Lake County,30458,0.542,4830,86,Rocky Mountain
30049,MT,Lewis and Clark County,69432,0.569,12700,154,Rocky Mountain
30051,MT,Liberty County,2337,0.329,268,2,Rocky Mountain
30053,MT,Lincoln County,19980,0.339,3659,73,Rocky Mountain
30055,MT,McCone County,1664,0.173,317,8,Rocky Mountain
30057,MT,Madison County,8600,0.43,1444,20,Rocky Mountain
30059,MT,Meagher County,1862,0.486,281,9,Rocky Mountain
30061,MT,Mineral County,4397,0.521,764,14,Rocky Mountain
30063,MT,Missoula County,119600,0.623,18124,192,Rocky Mountain
30065,MT,Musselshell County,4633,0.331,767,26,Rocky Mountain
30067,MT,Park County,16606,0.564,2822,31,Rocky Mountain
30069,MT,Petroleum County,487,0.298,27,1,Rocky Mountain
30071,MT,Phillips County,3954,0.424,881,27,Rocky Mountain
30073,MT,Pondera County,5911,0.522,849,6,Rocky Mountain
30075,MT,Powder River County,1682,0.215,287,10,Rocky Mountain
30077,MT,Powell County,6890,0.436,1473,26,Rocky Mountain
30079,MT,Prairie County,1077,0.365,196,2,Rocky Mountain
30081,MT,Ravalli County,43806,0.469,5518,128,Rocky Mountain
30083,MT,Richland County,10803,0.379,2038,30,Rocky Mountain
30085,MT,Roosevelt County,11004,0.631,2358,70,Rocky Mountain
30087,MT,Rosebud County,8937,0.804,1781,58,Rocky Mountain
30089,MT,Sanders County,12113,0.369,1633,40,Rocky Mountain
30091,MT,Sheridan County,3309,0.469,563,10,Rocky Mountain
30093,MT,Silver Bow County,34915,0.596,6375,118,Rocky Mountain
30095,MT,Stillwater County,9642,0.406,1248,29,Rocky Mountain
30097,MT,Sweet Grass County,3737,0.39,610,8,Rocky Mountain
30099,MT,Teton County,6147,0.402,943,19,Rocky Mountain
30101,MT,Toole County,4736,0.441,1015,21,Rocky Mountain
30103,MT,Treasure County,696,0.467,115,1,Rocky Mountain
30105,MT,Valley County,7396,0.443,1402,32,Rocky Mountain
30107,MT,Wheatland County,2126,0.345,277,13,Rocky Mountain
30109,MT,Wibaux County,969,0.27,179,8,Rocky Mountain
30111,MT,Yellowstone County,161300,0.493,32133,473,Rocky Mountain
31001,NE,Adams County,31363,0.399,4835,54,Plains
31003,NE,Antelope County,6298,0.357,851,8,Plains
31005,NE,Arthur County,463,0.181,29,1,Plains
31007,NE,Banner County,745,0.301,71,0,Plains
31009,NE,Blaine County,465,0.245,54,0,Plains
31011,NE,Boone County,5192,0.472,847,4,Plains
31013,NE,Box Butte County,10783,0.319,1723,12,Plains
31015,NE,Boyd County,1919,0.332,308,3,Plains
31017,NE,Brown County,2955,0.346,413,4,Plains
31019,NE,Buffalo County,49659,0.392,9069,57,Plains
31021,NE,Burt County,6459,0.559,964,12,Plains
31023,NE,Butler County,8016,0.485,1385,12,Plains
31025,NE,Cass County,26248,0.566,4342,23,Plains
31027,NE,Cedar County,8402,0.393,1136,11,Plains
31029,NE,Chase County,3924,0.314,653,5,Plains
31031,NE,Cherry County,5689,0.327,465,8,Plains
31033,NE,Cheyenne County,8910,0.41,1525,19,Plains
31035,NE,Clay County,6203,0.399,1150,17,Plains
31037,NE,Colfax County,10709,0.439,2063,21,Plains
31039,NE,Cuming County,8846,0.505,1444,15,Plains
31041,NE,Custer County,10777,0.368,1645,19,Plains
31043,NE,Dakota County,20026,0.602,5137,82,Plains
31045,NE,Dawes County,8589,0.366,1152,21,Plains
31047,NE,Dawson County,23595,0.455,4311,31,Plains
31049,NE,Deuel County,1794,0.327,257,2,Plains
31051,NE,Dixon County,5636,0.412,886,9,Plains
31053,NE,Dodge County,36565,0.509,7381,83,Plains
31055,NE,Douglas County,571327,0.624,103142,915,Plains
31057,NE,Dundy County,1693,0.35,278,4,Plains
31059,NE,Fillmore County,5462,0.505,813,13,Plains
31061,NE,Franklin County,2979,0.371,357,4,Plains
31063,NE,Frontier County,2627,0.261,449,1,Plains
31065,NE,Furnas County,4676,0.419,838,5,Plains
31067,NE,Gage County,21513,0.419,2844,20,Plains
31069,NE,Garden County,1837,0.439,266,1,Plains
31071,NE,Garfield County,1969,0.283,312,1,Plains
31073,NE,Gosper County,1990,0.378,294,5,Plains
31075,NE,Grant County,623,0.193,90,4,Plains
31077,NE,Greeley County,2356,0.386,319,1,Plains
31079,NE,Hall County,61353,0.456,11453,120,Plains
31081,NE,Hamilton County,9324,0.436,1592,19,Plains
31083,NE,Harlan County,3380,0.388,338,0,Plains
31085,NE,Hayes County,922,0.231,93,0,Plains
31087,NE,Hitchcock County,2762,0.321,438,5,Plains
31089,NE,Holt County,10067,0.403,1603,15,Plains
31091,NE,Hooker County,682,0.412,98,3,Plains
31093,NE,Howard County,6445,0.407,866,10,Plains
31095,NE,Jefferson County,7046,0.525,1007,3,Plains
31097,NE,Johnson County,5071,0.521,767,10,Plains
31099,NE,Kearney County,6495,0.451,965,5,Plains
31101,NE,Keith County,8034,0.356,1166,10,Plains
31103,NE,Keya Paha County,806,0.274,100,0,Plains
31105,NE,Kimball County,3632,0.338,617,9,Plains
31107,NE,Knox County,8332,0.47,1318,13,Plains
31109,NE,Lancaster County,319090,0.636,50996,355,Plains
31111,NE,Lincoln County,34914,0.312,6476,80,Plains
31113,NE,Logan County,748,0.214,120,0,Plains
31115,NE,Loup County,664,0.289,71,0,Plains
31117,NE,McPherson County,494,0.138,57,1,Plains
31119,NE,Madison County,35099,0.434,7068,44,Plains
31121,NE,Merrick County,7755,0.413,1289,15,Plains
31123,NE,Morrill County,4642,0.336,946,16,Plains
31125,NE,Nance County,3519,0.277,615,10,Plains
31127,NE,Nemaha County,6972,0.478,1143,13,Plains
31129,NE,Nuckolls County,4148,0.477,736,12,Plains
31131,NE,Otoe County,16012,0.534,2474,13,Plains
31133,NE,Pawnee County,2613,0.422,323,4,Plains
31135,NE,Perkins County,2891,0.388,421,11,Plains
31137,NE,Phelps County,9034,0.373,1759,10,Plains
31139,NE,Pierce County,7148,0.36,992,21,Plains
31141,NE,Platte County,33470,0.442,6434,50,Plains
31143,NE,Polk County,5213,0.397,900,18,Plains
31145,NE,Red Willow County,10724,0.355,1939,15,Plains
31147,NE,Richardson County,7865,0.49,1290,24,Plains
31149,NE,Rock County,1357,0.35,161,2,Plains
31151,NE,Saline County,14224,0.491,2805,3,Plains
31153,NE,Sarpy County,187196,0.611,34180,188,Plains
31155,NE,Saunders County,21578,0.497,3785,20,Plains
31157,NE,Scotts Bluff County,35618,0.391,7292,102,Plains
31159,NE,Seward County,17284,0.48,2606,38,Plains
31161,NE,Sheridan County,5246,0.302,861,23,Plains
31163,NE,Sherman County,3001,0.38,460,4,Plains
31165,NE,Sioux County,1166,0.236,61,1,Plains
31167,NE,Stanton County,5920,0.271,567,11,Plains
31169,NE,Thayer County,5003,0.457,818,7,Plains
31171,NE,Thomas County,722,0.241,84,1,Plains
31173,NE,Thurston County,7224,0.637,1166,11,Plains
31175,NE,Valley County,4158,0.315,588,2,Plains
31177,NE,Washington County,20729,0.534,3375,29,Plains
31179,NE,Wayne County,9385,0.396,1417,7,Plains
31181,NE,Webster County,3487,0.367,568,8,Plains
31183,NE,Wheeler County,783,0.299,94,0,Plains
31185,NE,York County,13679,0.502,2718,19,Plains
32001,NV,Churchill County,24909,0.463,4463,92,Far west
32003,NV,Clark County,2266715,0.532,378138,6461,Far west
32005,NV,Douglas County,48905,0.493,5322,74,Far west
32007,NV,Elko County,52778,0.395,9820,124,Far west
32009,NV,Esmeralda County,873,0.396,63,2,Far west
32011,NV,Eureka County,2029,0.256,252,1,Far west
32013,NV,Humboldt County,16831,0.392,3260,43,Far west
32015,NV,Lander County,5532,0.38,882,16,Far west
32017,NV,Lincoln County,5183,0.368,736,5,Far west
32019,NV,Lyon County,57510,0.394,7550,137,Far west
32021,NV,Mineral County,4505,0.542,648,14,Far west
32023,NV,Nye County,46523,0.442,5338,200,Far west
32027,NV,Pershing County,6725,0.345,1209,29,Far west
32029,NV,Storey County,4123,0.194,240,8,Far west
32031,NV,Washoe County,471519,0.61,72020,1016,Far west
32033,NV,White Pine County,9580,0.499,1480,18,Far west
32510,NV,Carson City,55916,0.608,9760,180,Far west
33001,NH,Belknap County,61303,,9284,146,New England
33003,NH,Carroll County,48910,,6235,32,New England
33005,NH,Cheshire County,76085,,9338,72,New England
33007,NH,Coos County,31563,,4694,84,New England
33009,NH,Grafton County,89886,,9454,47,New England
33011,NH,Hillsborough County,417025,,65181,767,New England
33013,NH,Merrimack County,151391,,20874,168,New England
33015,NH,Rockingham County,309769,,44420,405,New England
33017,NH,Strafford County,130633,,19217,165,New England
33019,NH,Sullivan County,43146,,6197,53,New England
34001,NJ,Atlantic County,263670,0.621,48679,818,Mideast
34003,NJ,Bergen County,932202,0.727,157470,3072,Mideast
34005,NJ,Burlington County,445349,0.706,71326,1014,Mideast
34007,NJ,Camden County,506471,0.64,86079,1523,Mideast
34009,NJ,Cape May County,92039,0.703,16767,252,Mideast
34011,NJ,Cumberland County,149527,0.475,25993,518,Mideast
34013,NJ,Essex County,798975,0.665,151892,3212,Mideast
34015,NJ,Gloucester County,291636,0.585,49641,787,Mideast
34017,NJ,Hudson County,672391,0.716,121107,2445,Mideast
34019,NJ,Hunterdon County,124371,0.671,16354,200,Mideast
34021,NJ,Mercer County,367430,0.661,51226,1072,Mideast
34023,NJ,Middlesex County,825062,0.684,136135,2555,Mideast
34025,NJ,Monmouth County,618795,0.641,120641,1820,Mideast
34027,NJ,Morris County,491845,0.741,79816,1348,Mideast
34029,NJ,Ocean County,607186,0.514,120435,2477,Mideast
34031,NJ,Passaic County,501826,0.648,104417,2071,Mideast
34033,NJ,Salem County,62385,0.515,10315,216,Mideast
34035,NJ,Somerset County,328934,0.715,47294,905,Mideast
34037,NJ,Sussex County,140488,0.595,24115,371,Mideast
34039,NJ,Union County,556341,0.661,104695,2082,Mideast
34041,NJ,Warren County,105267,0.643,16862,279,Mideast
35001,NM,Bernalillo County,679121,0.619,98677,1334,Southwest
35003,NM,Catron County,3527,0.405,289,11,Southwest
35005,NM,Chaves County,64615,0.389,15633,233,Southwest
35006,NM,Cibola County,26675,0.589,5118,158,Southwest
35007,NM,Colfax County,11941,0.567,1976,56,Southwest
35009,NM,Curry County,48954,0.416,8996,135,Southwest
35011,NM,De Baca County,1748,0.451,400,3,Southwest
35013,NM,Doña Ana County,218195,0.605,41044,603,Southwest
35015,NM,Eddy County,58460,0.402,12606,227,Southwest
35017,NM,Grant County,26998,0.601,4366,64,Southwest
35019,NM,Guadalupe County,4300,0.611,964,15,Southwest
35021,NM,Harding County,625,0.474,58,4,Southwest
35023,NM,Hidalgo County,4198,0.501,707,12,Southwest
35025,NM,Lea County,71070,0.389,15625,289,Southwest
35027,NM,Lincoln County,19572,0.519,3714,46,Southwest
35028,NM,Los Alamos County,19369,0.707,1033,11,Southwest
35029,NM,Luna County,23709,0.619,4906,106,Southwest
35031,NM,McKinley County,71367,0.653,17533,535,Southwest
35033,NM,Mora County,4521,0.568,472,14,Southwest
35035,NM,Otero County,67490,0.42,10918,145,Southwest
35037,NM,Quay County,8253,0.411,1577,31,Southwest
35039,NM,Rio Arriba County,38921,0.675,6329,95,Southwest
35041,NM,Roosevelt County,18500,0.342,3509,81,Southwest
35043,NM,Sandoval County,146748,0.626,21183,311,Southwest
35045,NM,San Juan County,123958,0.604,28401,653,Southwest
35047,NM,San Miguel County,27277,0.593,3429,34,Southwest
35049,NM,Santa Fe County,150358,0.701,17151,204,Southwest
35051,NM,Sierra County,10791,0.602,1493,64,Southwest
35053,NM,Socorro County,16637,0.565,2562,70,Southwest
35055,NM,Taos County,32723,0.722,3288,73,Southwest
35057,NM,Torrance County,15461,0.382,2259,35,Southwest
35059,NM,Union County,4059,0.46,748,12,Southwest
35061,NM,Valencia County,76688,0.525,13079,193,Southwest
36001,NY,Albany County,305506,0.714,41133,439,Mideast
36003,NY,Allegany County,46091,0.418,6979,137,Mideast
36005,NY,Bronx County,1418207,0.674,258403,6881,Mideast
36007,NY,Broome County,190488,0.609,33512,463,Mideast
36009,NY,Cattaraugus County,76117,0.534,11497,189,Mideast
36011,NY,Cayuga County,76576,0.565,11419,120,Mideast
36013,NY,Chautauqua County,126903,0.561,17677,221,Mideast
36015,NY,Chemung County,83456,0.569,15092,194,Mideast
36017,NY,Chenango County,47207,0.581,6717,101,Mideast
36019,NY,Clinton County,80485,0.688,9900,57,Mideast
36021,NY,Columbia County,59461,0.713,6954,121,Mideast
36023,NY,Cortland County,47581,0.568,7256,92,Mideast
36025,NY,Delaware County,44135,0.548,5499,58,Mideast
36027,NY,Dutchess County,294218,0.663,45626,535,Mideast
36029,NY,Erie County,918702,0.664,148889,2241,Mideast
36031,NY,Essex County,36885,0.689,3702,48,Mideast
36033,NY,Franklin County,50022,0.622,6439,30,Mideast
36035,NY,Fulton County,53383,0.516,9059,131,Mideast
36037,NY,Genesee County,57280,0.573,10177,160,Mideast
36039,NY,Greene County,47188,0.598,6158,97,Mideast
36041,NY,Hamilton County,4416,0.815,616,4,Mideast
36043,NY,Herkimer County,61319,0.562,10111,159,Mideast
36045,NY,Jefferson County,109834,0.671,13251,118,Mideast
36047,NY,Kings County,2559903,0.661,454716,11145,Mideast
36049,NY,Lewis County,26296,0.496,4771,41,Mideast
36051,NY,Livingston County,62914,0.571,8508,93,Mideast
36053,NY,Madison County,70941,0.586,9086,116,Mideast
36055,NY,Monroe County,741770,0.69,113677,1349,Mideast
36057,NY,Montgomery County,49221,0.634,8386,176,Mideast
36059,NY,Nassau County,1356924,0.764,294650,3405,Mideast
36061,NY,New York County,1628706,,265597,4718,Mideast
36063,NY,Niagara County,209281,0.637,34394,470,Mideast
36065,NY,Oneida County,228671,0.594,39190,701,Mideast
36067,NY,Onondaga County,460528,0.704,70960,882,Mideast
36069,NY,Ontario County,109777,0.656,14122,144,Mideast
36071,NY,Orange County,384940,0.626,76136,832,Mideast
36073,NY,Orleans County,40352,0.528,6471,103,Mideast
36075,NY,Oswego County,117124,0.568,17204,147,Mideast
36077,NY,Otsego County,59493,0.591,6633,71,Mideast
36079,NY,Putnam County,98320,0.695,16740,106,Mideast
36081,NY,Queens County,2253858,0.8,408415,10516,Mideast
36083,NY,Rensselaer County,158714,0.672,21133,213,Mideast
36085,NY,Richmond County,476143,0.685,114692,2007,Mideast
36087,NY,Rockland County,325789,0.601,66565,805,Mideast
36089,NY,St. Lawrence County,107740,0.583,15180,159,Mideast
36091,NY,Saratoga County,229863,0.761,30952,267,Mideast
36093,NY,Schenectady County,155299,0.693,22599,266,Mideast
36095,NY,Schoharie County,30999,0.547,3429,29,Mideast
36097,NY,Schuyler County,17807,0.599,2415,23,Mideast
36099,NY,Seneca County,34016,0.514,3959,80,Mideast
36101,NY,Steuben County,95379,0.569,14661,216,Mideast
36103,NY,Suffolk County,1476601,0.714,320235,3805,Mideast
36105,NY,Sullivan County,75432,0.572,12269,102,Mideast
36107,NY,Tioga County,48203,0.576,7660,78,Mideast
36109,NY,Tompkins County,102180,0.765,11545,71,Mideast
36111,NY,Ulster County,177573,0.692,22326,312,Mideast
36113,NY,Warren County,63944,0.741,9116,105,Mideast
36115,NY,Washington County,61204,0.632,8325,91,Mideast
36117,NY,Wayne County,89918,0.596,12344,125,Mideast
36119,NY,Westchester County,967506,0.757,182681,2403,Mideast
36121,NY,Wyoming County,39859,0.492,6254,74,Mideast
36123,NY,Yates County,24913,0.506,2390,36,Mideast
37001,NC,Alamance County,169509,0.554,30413,376,Southeast
37003,NC,Alexander County,37497,0.43,7275,119,Southeast
37005,NC,Alleghany County,11137,0.563,2088,7,Southeast
37007,NC,Anson County,24446,0.435,4260,86,Southeast
37009,NC,Ashe County,27203,0.507,4111,58,Southeast
37011,NC,Avery County,17557,0.514,3148,39,Southeast
37013,NC,Beaufort County,46994,0.524,7951,139,Southeast
37015,NC,Bertie County,18947,0.485,2693,54,Southeast
37017,NC,Bladen County,32722,0.466,5915,98,Southeast
37019,NC,Brunswick County,142820,0.591,18525,253,Southeast
37021,NC,Buncombe County,261191,0.637,33022,462,Southeast
37023,NC,Burke County,90485,0.446,17073,253,Southeast
37025,NC,Cabarrus County,216453,0.53,37864,376,Southeast
37027,NC,Caldwell County,82178,0.451,14968,231,Southeast
37029,NC,Camden County,10867,0.548,1322,9,Southeast
37031,NC,Carteret County,69473,0.547,9214,83,Southeast
37033,NC,Caswell County,22604,0.477,3547,39,Southeast
37035,NC,Catawba County,159551,0.523,31700,463,Southeast
37037,NC,Chatham County,74470,0.554,7870,99,Southeast
37039,NC,Cherokee County,28612,0.536,4958,89,Southeast
37041,NC,Chowan County,13943,0.528,2557,45,Southeast
37043,NC,Clay County,11231,0.517,1771,38,Southeast
37045,NC,Cleveland County,97947,0.472,20214,324,Southeast
37047,NC,Columbus County,55508,0.422,10741,234,Southeast
37049,NC,Craven County,102139,0.578,15282,164,Southeast
37051,NC,Cumberland County,335509,0.602,52401,511,Southeast
37053,NC,Currituck County,27763,0.532,3295,27,Southeast
37055,NC,Dare County,37009,0.718,4716,15,Southeast
37057,NC,Davidson County,167609,0.451,29360,339,Southeast
37059,NC,Davie County,42846,0.54,7593,82,Southeast
37061,NC,Duplin County,58741,0.399,10591,199,Southeast
37063,NC,Durham County,321488,0.671,40447,269,Southeast
37065,NC,Edgecombe County,51472,0.453,8804,127,Southeast
37067,NC,Forsyth County,382295,0.586,59845,619,Southeast
37069,NC,Franklin County,69685,0.484,11485,64,Southeast
37071,NC,Gaston County,224529,0.479,45437,652,Southeast
37073,NC,Gates County,11562,0.492,1229,18,Southeast
37075,NC,Graham County,8441,0.474,1466,28,Southeast
37077,NC,Granville County,60443,0.587,9190,107,Southeast
37079,NC,Greene County,21069,0.478,3675,56,Southeast
37081,NC,Guilford County,537174,0.58,77497,947,Southeast
37083,NC,Halifax County,50010,0.503,8700,146,Southeast
37085,NC,Harnett County,135976,0.369,20472,279,Southeast
37087,NC,Haywood County,62317,0.549,8533,163,Southeast
37089,NC,Henderson County,117417,0.556,17657,236,Southeast
37091,NC,Hertford County,23677,0.449,3060,73,Southeast
37093,NC,Hoke County,55234,0.315,8147,90,Southeast
37095,NC,Hyde County,4937,0.619,893,12,Southeast
37097,NC,Iredell County,181806,0.496,33279,348,Southeast
37099,NC,Jackson County,43938,0.522,6242,79,Southeast
37101,NC,Johnston County,209339,0.493,36936,347,Southeast
37103,NC,Jones County,9419,0.482,1440,38,Southeast
37105,NC,Lee County,61779,0.533,10306,119,Southeast
37107,NC,Lenoir County,55949,0.513,10293,181,Southeast
37109,NC,Lincoln County,86111,0.463,17199,119,Southeast
37111,NC,McDowell County,45756,0.502,9314,139,Southeast
37113,NC,Macon County,35858,0.567,5425,87,Southeast
37115,NC,Madison County,21755,0.547,3200,66,Southeast
37117,NC,Martin County,22440,0.499,3900,75,Southeast
37119,NC,Mecklenburg County,1110356,0.593,181280,1314,Southeast
37121,NC,Mitchell County,14964,0.476,2367,24,Southeast
37123,NC,Montgomery County,27173,0.404,4912,110,Southeast
37125,NC,Moore County,100880,0.545,15159,258,Southeast
37127,NC,Nash County,94298,0.55,16968,245,Southeast
37129,NC,New Hanover County,234473,0.599,31474,300,Southeast
37131,NC,Northampton County,19483,0.455,2764,66,Southeast
37133,NC,Onslow County,197938,0.563,31811,280,Southeast
37135,NC,Orange County,148476,,13900,112,Southeast
37137,NC,Pamlico County,12726,0.535,1806,26,Southeast
37139,NC,Pasquotank County,39824,0.509,5856,110,Southeast
37141,NC,Pender County,63060,0.485,9871,103,Southeast
37143,NC,Perquimans County,13463,0.452,1823,16,Southeast
37145,NC,Person County,39490,0.533,5918,94,Southeast
37147,NC,Pitt County,180742,0.509,32614,146,Southeast
37149,NC,Polk County,20724,0.425,2528,49,Southeast
37151,NC,Randolph County,143667,0.417,24617,343,Southeast
37153,NC,Richmond County,44829,0.453,7894,155,Southeast
37155,NC,Robeson County,130625,0.395,27032,456,Southeast
37157,NC,Rockingham County,91010,0.475,14356,223,Southeast
37159,NC,Rowan County,142088,0.42,29048,492,Southeast
37161,NC,Rutherford County,67029,0.399,12253,347,Southeast
37163,NC,Sampson County,63531,0.482,11874,145,Southeast
37165,NC,Scotland County,34823,0.445,6220,110,Southeast
37167,NC,Stanly County,62806,0.398,13105,212,Southeast
37169,NC,Stokes County,45591,0.442,7614,120,Southeast
37171,NC,Surry County,71783,0.495,14633,256,Southeast
37173,NC,Swain County,14271,0.536,2295,29,Southeast
37175,NC,Transylvania County,34385,0.529,4497,54,Southeast
37177,NC,Tyrrell County,4016,0.468,622,7,Southeast
37179,NC,Union County,239859,0.524,41643,390,Southeast
37181,NC,Vance County,44535,0.53,7941,104,Southeast
37183,NC,Wake County,1111761,,156057,920,Southeast
37185,NC,Warren County,19731,0.525,2731,36,Southeast
37187,NC,Washington County,11580,0.47,1742,39,Southeast
37189,NC,Watauga County,56177,0.528,7414,44,Southeast
37191,NC,Wayne County,123131,0.485,18598,332,Southeast
37193,NC,Wilkes County,68412,0.447,12093,205,Southeast
37195,NC,Wilson County,81801,0.503,14298,243,Southeast
37197,NC,Yadkin County,37667,0.471,7369,90,Southeast
37199,NC,Yancey County,18069,0.493,3447,36,Southeast
38001,ND,Adams County,2216,0.473,472,8,Plains
38003,ND,Barnes County,10415,0.557,2229,40,Plains
38005,ND,Benson County,6832,0.49,1478,22,Plains
38007,ND,Billings County,928,0.207,120,1,Plains
38009,ND,Bottineau County,6282,0.471,1186,24,Plains
38011,ND,Bowman County,3024,0.378,682,9,Plains
38013,ND,Burke County,2115,0.38,360,3,Plains
38015,ND,Burleigh County,95626,0.485,25555,281,Plains
38017,ND,Cass County,181923,0.581,39829,286,Plains
38019,ND,Cavalier County,3762,0.583,597,7,Plains
38021,ND,Dickey County,4872,0.51,1188,38,Plains
38023,ND,Divide County,2264,0.397,338,3,Plains
38025,ND,Dunn County,4424,0.23,872,7,Plains
38027,ND,Eddy County,2287,0.502,605,6,Plains
38029,ND,Emmons County,3241,0.333,611,16,Plains
38031,ND,Foster County,3210,0.535,727,19,Plains
38033,ND,Golden Valley County,1761,0.289,392,4,Plains
38035,ND,Grand Forks County,69451,0.558,15090,104,Plains
38037,ND,Grant County,2274,0.217,380,9,Plains
38039,ND,Griggs County,2231,0.454,459,2,Plains
38041,ND,Hettinger County,2499,0.381,562,7,Plains
38043,ND,Kidder County,2480,0.318,404,13,Plains
38045,ND,LaMoure County,4046,0.465,779,18,Plains
38047,ND,Logan County,1850,0.363,353,11,Plains
38049,ND,McHenry County,5745,0.402,1066,28,Plains
38051,ND,McIntosh County,2497,0.424,542,9,Plains
38053,ND,McKenzie County,15024,0.208,2681,23,Plains
38055,ND,McLean County,9450,0.446,2210,47,Plains
38057,ND,Mercer County,8187,0.376,1984,22,Plains
38059,ND,Morton County,31364,0.435,8566,131,Plains
38061,ND,Mountrail County,10545,0.388,2275,32,Plains
38063,ND,Nelson County,2879,0.688,620,16,Plains
38065,ND,Oliver County,1959,0.249,258,4,Plains
38067,ND,Pembina County,6801,0.532,1507,15,Plains
38069,ND,Pierce County,3975,0.44,852,29,Plains
38071,ND,Ramsey County,11519,0.542,2625,44,Plains
38073,ND,Ransom County,5218,0.572,1090,23,Plains
38075,ND,Renville County,2327,0.375,454,15,Plains
38077,ND,Richland County,16177,0.492,3022,21,Plains
38079,ND,Rolette County,14176,0.632,3591,36,Plains
38081,ND,Sargent County,3898,0.568,784,9,Plains
38083,ND,Sheridan County,1315,0.359,237,6,Plains
38085,ND,Sioux County,4230,0.454,987,18,Plains
38087,ND,Slope County,750,0.107,55,0,Plains
38089,ND,Stark County,31489,0.35,9119,79,Plains
38091,ND,Steele County,1890,0.449,303,2,Plains
38093,ND,Stutsman County,20704,0.512,5168,92,Plains
38095,ND,Towner County,2189,0.461,480,11,Plains
38097,ND,Traill County,8036,0.523,1665,21,Plains
38099,ND,Walsh County,10641,0.559,2593,34,Plains
38101,ND,Ward County,67641,0.458,15233,234,Plains
38103,ND,Wells County,3834,0.422,820,11,Plains
38105,ND,Williams County,37589,0.287,8121,62,Plains
39001,OH,Adams County,27698,0.332,5008,116,Great Lakes
39003,OH,Allen County,102351,0.411,20964,371,Great Lakes
39005,OH,Ashland County,53484,0.414,9235,165,Great Lakes
39007,OH,Ashtabula County,97241,0.497,15510,309,Great Lakes
39009,OH,Athens County,65327,0.496,9068,104,Great Lakes
39011,OH,Auglaize County,45656,0.377,8724,135,Great Lakes
39013,OH,Belmont County,67006,0.463,11473,246,Great Lakes
39015,OH,Brown County,43432,0.387,8064,134,Great Lakes
39017,OH,Butler County,383134,0.536,64354,893,Great Lakes
39019,OH,Carroll County,26914,0.418,4255,96,Great Lakes
39021,OH,Champaign County,38885,0.434,6577,101,Great Lakes
39023,OH,Clark County,134083,0.491,25201,412,Great Lakes
