fips,MedianIncome,PovertyEst,LaborForce,UnemploymentRate,Older,Urban,Trump2016,Trump2020,RepGov,Female,AdherentPercent
48285,57999,2086,8406,5.2,20.54436,18.68,85.011,86.33912,1.0,0.0,102.84
48287,61444,1798,9158,4.9,16.08804,30.28,76.60226,77.35592,1.0,0.0,60.324
48289,52878,2395,6121,7.8,22.39521,0.0,86.28324,86.73045,1.0,0.0,60.85388889
48291,61230,12444,33582,10.6,13.13025,36.77,78.06251,79.43684,1.0,0.0,51.685
48293,53143,3647,8363,7.1,16.61463,46.38,75.14383,74.64541,1.0,0.0,57.137
48295,67775,348,1541,4.2,12.06395,0.0,87.6702,89.06134,1.0,0.0,64.99088889
48297,54031,1893,5177,7.5,21.41119,0.0,80.85306,83.0827,1.0,0.0,65.111
48299,60706,2384,8479,5.7,33.0719,54.82,79.82076,79.61295,1.0,0.0,43.67088889
48301,97491,7,289,1.7,,,,,,,7.317
48303,56477,47957,156625,5.7,11.57981,88.66,66.86314,65.29796,1.0,0.0,57.57588889
48305,51003,860,2740,5.4,15.96859,43.28,77.41612,80.81116,1.0,0.0,82.587
48307,47617,1243,3260,7.5,19.97541,64.67,82.50162,84.51688,1.0,0.0,56.682
48309,55148,42552,120347,6.2,12.91877,76.65,61.65102,60.90047,1.0,0.0,61.411
48311,45927,69,727,2.8,,,,,,,61.245
48313,58674,2069,4462,7.2,19.89529,32.6,78.19286,78.70493,1.0,0.0,53.81288889
48315,42024,1957,4271,8.2,22.72277,0.0,70.56586,71.34046,1.0,0.0,34.506
48317,73367,643,2546,6.1,11.66827,0.0,82.79202,85.97222,1.0,0.0,63.409
48319,63120,424,1726,5.6,26.88039,0.0,80.66245,80.47696,1.0,0.0,71.112
48321,52241,6286,16529,10.5,14.70629,63.58,69.16546,71.7252,1.0,0.0,60.61488889
48323,41324,11439,24494,15.0,11.136,90.74,20.72417,44.83905,1.0,0.0,34.441
48325,62600,5600,21461,6.3,15.05148,38.44,70.1344,69.0779,1.0,0.0,48.924
48327,41477,398,866,5.2,24.82436,0.0,79.18604,80.05836,1.0,0.0,51.96288889
48329,92117,17070,98237,8.1,9.98762,87.71,75.67944,77.51801,1.0,0.0,71.54288889
48331,49961,4208,9750,7.1,18.25596,43.82,73.66097,75.49168,1.0,0.0,61.421
48333,49089,675,1889,4.1,23.83475,0.0,87.08669,88.50299,1.0,0.0,83.833
48335,46156,1259,2381,7.9,16.98813,63.26,81.27854,84.14114,1.0,0.0,59.247
48337,56012,2449,9081,6.6,20.56904,41.06,87.47094,87.78276,1.0,0.0,49.668
48339,85348,51122,284994,7.5,11.5308,77.27,73.95399,71.24011,1.0,0.0,49.98
48341,53341,2160,10578,3.8,9.136138,83.19,75.52261,79.13943,1.0,0.0,61.18988889
48343,45122,2085,4793,11.4,20.39841,21.58,69.35938,69.30374,1.0,0.0,63.32888889
48345,46712,192,437,4.6,24.29906,0.0,92.09678,92.63804,1.0,0.0,83.223
48347,49375,11695,27987,6.6,12.92308,53.54,65.7646,64.93293,1.0,0.0,51.55388889
48349,50778,7383,23245,6.2,15.2935,47.34,73.15346,72.17196,1.0,0.0,52.83088889
48351,45769,2699,5054,11.0,17.17063,0.0,73.8404,80.11159,1.0,0.0,35.00888889
48353,41720,2480,7151,5.3,16.3314,67.34,74.85244,77.12845,1.0,0.0,69.02588889
48355,55727,62210,163920,9.0,12.61493,93.55,48.77354,50.75404,1.0,0.0,60.434
48357,71477,876,4071,5.8,9.829867,86.09,88.15833,89.10013,1.0,0.0,68.95188889
48359,61013,264,890,3.9,18.63354,0.0,89.94709,90.88206,1.0,0.0,62.524
48361,61323,12368,36027,10.5,14.40354,64.83,79.92506,81.08574,1.0,0.0,62.42988889
48363,59450,4023,13267,7.0,17.47151,49.78,80.8059,81.52984,1.0,0.0,56.284
48365,51936,3494,9437,8.4,16.3439,27.28,81.10055,81.44267,1.0,0.0,48.86488889
48367,88617,11729,68141,5.9,14.10586,43.92,82.30904,81.50089,1.0,0.0,55.21688889
48369,61989,1147,4915,2.6,12.04637,39.98,67.81405,80.56604,1.0,0.0,76.62888889
48371,52792,2253,6517,8.1,13.435,60.22,59.10727,68.87318,1.0,0.0,46.52688889
48373,47535,7282,18357,8.7,20.78324,22.36,77.18906,76.80824,1.0,0.0,32.83388889
48375,45903,22745,54150,5.5,11.06405,91.0,68.8281,68.48534,1.0,0.0,77.21588889
48377,39967,1261,3231,14.7,20.06849,59.53,29.59601,32.52143,1.0,0.0,51.21488889
48379,59195,1687,6027,4.7,22.84542,6.77,84.64362,85.16438,1.0,0.0,40.19588889
48381,71041,13225,72380,4.5,13.20278,85.62,80.61063,78.5416,1.0,0.0,58.621
48383,66711,316,1815,9.7,11.2202,86.69,78.77778,83.80783,1.0,0.0,85.744
48385,43076,545,1072,6.7,33.74422,0.0,82.35995,82.89606,1.0,0.0,68.722
48387,46727,1851,5144,6.4,21.19741,24.27,76.23859,77.79883,1.0,0.0,50.956
48389,64863,2424,8858,7.1,15.70612,85.5,44.50377,61.13371,1.0,0.0,56.12688889
48391,48433,1030,3083,8.2,20.01405,39.32,62.13922,65.65657,1.0,0.0,77.936
48393,69927,52,414,4.6,17.2043,0.0,95.27273,96.18182,1.0,0.0,66.846
48395,55218,2414,7345,6.4,18.1206,26.15,66.54779,69.71231,1.0,0.0,55.05388889
48397,106225,5214,53209,6.0,10.80922,83.96,71.83587,68.14867,1.0,0.0,81.872
48399,50972,1461,4529,4.9,20.18573,59.24,86.08234,86.34611,1.0,0.0,88.896
48401,56954,6809,22127,7.3,15.48473,34.13,77.26124,77.37739,1.0,0.0,46.679
48403,51046,1664,3923,10.8,28.06763,0.0,85.99741,87.1879,1.0,0.0,49.78788889
48405,45781,1576,3020,9.6,23.56424,0.0,73.53354,75.13743,1.0,0.0,51.675
48407,51575,4692,11650,8.1,19.08482,0.0,78.11742,80.40038,1.0,0.0,24.196
48409,56944,9855,29221,10.3,13.51248,80.35,60.44717,63.7979,1.0,0.0,62.30588889
