Fips,Income,Older,Urban,Trump2016,Trump2020,RepGov,Female
28091,36408,15.7157,26.93,67.26383,67.84484,1,0
28093,40285,14.81912,16.58,44.3938,47.79533,1,0
28095,44681,16.87876,30.37,64.04537,64.68546,1,0
28097,36311,17.8347,40.16,56.07881,57.44387,1,0
28099,36236,13.5919,26.15,72.93542,70.98976,1,0
28101,40792,15.83473,12.94,68.98999,68.6721,1,0
28103,32167,14.70991,25.97,21.32539,23.21663,1,0
28105,39130,10.70451,63.58,47.49551,45.4472,1,0
28107,39198,13.77237,21.06,49.623,51.55101,1,0
28109,45268,16.03791,30.07,82.19976,81.45576,1,0
28111,39687,16.16916,0,76.12298,75.98784,1,0
28113,33983,14.60545,40.56,49.56182,48.84216,1,0
28115,44297,13.61983,16.05,79.94243,80.33665,1,0
28117,41281,16.54691,23.94,77.46935,78.51046,1,0
28119,27767,14.63415,43,29.76439,31.77454,1,0
28121,66296,12.68996,66.09,75.24611,72.03312,1,0
28123,38034,12.87676,27.83,58.19398,58.49777,1,0
28125,28887,13.14103,0,32.13915,31.51626,1,0
28127,38173,14.86968,15.16,64.75999,64.59391,1,0
28129,46764,16.44472,0,77.77924,77.55494,1,0
28131,44622,13.22338,21.19,75.53392,75.70449,1,0
28133,31329,12.18593,54.24,29.42803,28.90633,1,0
28135,32692,18.02187,19.05,41.94208,43.71815,1,0
28137,48082,14.71303,22.61,64.84327,66.46057,1,0
28139,39833,15.74351,16.16,78.5519,79.72678,1,0
28141,41455,18.46274,0,85.64381,86.72789,1,0
28143,33143,9.65717,33.98,24.25642,25.97475,1,0
28145,46600,15.13445,24.44,80.54334,81.78664,1,0
28147,33566,16.6779,0,57.09934,59.25302,1,0
28149,46049,13.83562,59.11,51.512,49.22587,1,0
28151,33991,13.04392,82.48,31.16464,29.40361,1,0
28153,37401,15,20.36,62.48164,62.66269,1,0
28155,43349,15.98588,0,78.60271,79.43354,1,0
28157,29900,15.82734,0,31.26497,32.05811,1,0
28159,39498,17.49039,24.09,55.56949,55.30074,1,0
28161,39551,17.18622,20.68,55.56289,56.14867,1,0
28163,33111,13.29897,55.39,46.17873,46.27909,1,0
29001,40395,14.64435,62.15,59.37654,62.04528,1,0
29003,57459,16.38913,38.72,72.92122,74.395,1,0
29005,49122,22.44131,0,75.61514,78.14499,1,0
29007,44340,16.95588,58.8,69.5111,72.56006,1,0
29009,42457,18.85674,26.74,78.24569,79.65765,1,0
29011,41583,18.0798,36.04,83.58057,85.04196,1,0
29013,45955,18.05938,22.73,74.80363,78.38641,1,0
29015,40025,26.90137,13.46,75.25042,77.4055,1,0
29017,44233,17.10526,0,85.14729,86.36135,1,0
29019,55136,10.23639,81.21,43.38631,42.38987,1,0
29021,52506,14.3274,86.63,59.93589,61.34215,1,0
29023,38067,16.73615,47.82,79.19569,80.49171,1,0
29025,47591,17.94151,0,74.9826,79.56002,1,0
29027,53970,14.60025,37.97,68.23862,70.06716,1,0
29029,48580,24.05384,25.77,75.38094,75.97131,1,0
29031,51962,14.82331,69.5,73.05492,71.67973,1,0
29033,47049,19.32071,35.46,79.79821,81.77405,1,0
29035,34134,17.14744,0,81.73821,84.60477,1,0
29037,71374,14.38957,67.6,65.08134,64.79411,1,0
