INSTNM,STABBR,PREDDEG,HIGHDEG,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,SAT_AVG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,COSTT4_A,AVGFACSAL,PFTFAC
University of California-Davis,CA,3,4,15,15,15,NULL,1292,0.2376,0.022,0.2239,0.2731,0.0018,0.004,35252,14603,0.866
University of California-Irvine,CA,3,4,15,15,16,NULL,1316,0.1341,0.0206,0.2604,0.3582,0.0008,0.003,32985,15447,0.8146
University of California-Los Angeles,CA,3,4,15,15,17,NULL,1423,0.266,0.0342,0.2216,0.2795,0.0021,0.0026,33654,18392,0.6973
University of California-Riverside,CA,3,4,15,15,16,NULL,1229,0.1142,0.0391,0.4103,0.3432,0.0016,0.0041,32843,13408,0.8655
University of California-San Diego,CA,3,4,15,15,16,NULL,1372,0.194,0.0161,0.2012,0.3385,0.0009,0.0029,31891,16373,0.8483
University of California-San Francisco,CA,4,4,25,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15176,0.5871
University of California-Santa Barbara,CA,3,4,15,15,16,NULL,1360,0.3066,0.0207,0.261,0.179,0.0012,0.001,35987,15994,0.8502
University of California-Santa Cruz,CA,3,4,15,15,17,NULL,1311,0.3035,0.019,0.276,0.2231,0.0008,0.0016,35982,14426,0.767
Sofia University,CA,3,4,26,5,6,NULL,NULL,0,0,0.25,0,0,0,NULL,6194,0.5139
California Christian College,CA,3,3,24,5,6,41,NULL,0.3077,0.1538,0.3846,0.1538,0,0,19034,NULL,NULL
California Institute of the Arts,CA,3,4,30,14,10,NULL,NULL,0.4257,0.0379,0.1496,0.0957,0.003,0.002,69015,8825,0.6065
California State University Maritime Academy,CA,3,4,22,13,11,NULL,NULL,0.4705,0.0246,0.1969,0.1024,0.003,0.0118,28082,9824,0.7391
California Western School of Law,CA,4,4,31,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11506,0.3895
Chapman University,CA,3,4,16,14,13,61,1288,0.5282,0.0174,0.1573,0.1304,0.0016,0.0031,69018,11826,1
Concordia University-Irvine,CA,3,4,18,13,14,68,1142,0.4899,0.0482,0.2393,0.083,0.0039,0.0045,49474,7215,0.9384
San Diego Christian College,CA,3,4,22,7,7,88,1055,0.4085,0.1004,0.308,0.0313,0.0045,0.0156,45605,6748,0.1118
Church Divinity School of the Pacific,CA,4,4,24,0,18,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6872,0.4167
Claremont Graduate University,CA,4,4,16,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13883,0.8852
Claremont McKenna College,CA,3,4,21,14,11,NULL,1446,0.4158,0.0417,0.1525,0.1108,0,0.0008,71745,14628,0.9243
Cogswell College,CA,3,3,22,9,7,NULL,NULL,0.3294,0.0577,0.2207,0.2088,0.0119,0.0085,35351,7404,0.2472
Western University of Health Sciences,CA,4,4,25,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10741,0.8323
Columbia College Hollywood,CA,3,3,30,15,6,NULL,NULL,0.4278,0.137,0.1926,0.05,0.0167,0.0037,40386,5833,0.0875
Design Institute of San Diego,CA,3,3,30,9,6,NULL,NULL,0.5816,0.0612,0.1837,0.0612,0.0204,0.0204,41056,5278,NULL
Dominican University of California,CA,3,4,19,13,10,NULL,1126,0.3022,0.0427,0.2389,0.2809,0.0055,0.0103,63875,8662,0.3285
Dominican School of Philosophy & Theology,CA,4,4,24,0,18,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3117,0.75
Emperor's College of Traditional Oriental Medicine,CA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fielding Graduate University,CA,4,4,17,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6801,0.4345
Five Branches University,CA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4348,0.0476
Franciscan School of Theology,CA,4,4,24,0,18,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7353,NULL
Fresno Pacific University,CA,3,4,18,13,12,43,1053,0.2756,0.054,0.5125,0.0464,0.0121,0.0017,40950,7166,0.906
Fuller Theological Seminary,CA,4,4,24,0,18,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7722,0.9053
Golden Gate University-San Francisco,CA,3,4,18,5,9,NULL,NULL,0.2797,0.0965,0.1881,0.1262,0.0099,0.0198,NULL,10287,1
Graduate Theological Union,CA,4,4,24,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8198,0.6
Harvey Mudd College,CA,3,3,21,14,8,NULL,1531,0.3138,0.035,0.1986,0.1885,0.0023,0.0045,74428,13671,0.8594
Holy Names University,CA,3,4,19,11,8,30,849,0.1565,0.1805,0.4265,0.099,0.0016,0.0208,55758,8046,0.2885
Pacifica Graduate Institute,CA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7441,0.1675
Humboldt State University,CA,3,4,19,13,13,NULL,1074,0.4253,0.037,0.3499,0.0285,0.0123,0.003,24382,9602,0.5451
Humphreys University-Stockton and Modesto Campuses,CA,3,4,22,7,6,NULL,NULL,0.1873,0.0921,0.381,0.0698,0.0032,0.0286,20232,6775,0.2198
John F. Kennedy University,CA,3,4,17,5,6,NULL,NULL,0.3541,0.1914,0.1435,0.0478,0.0048,0.0239,NULL,5923,0.1364
American Jewish University,CA,3,4,21,11,8,80,NULL,0.3731,0,0,0.0149,0,0,46320,7904,1
Life Pacific University,CA,3,4,22,11,8,79,1002,0.4067,0.0476,0.379,0.0357,0.002,0.002,27086,6300,0.3
University of La Verne,CA,3,4,17,9,12,NULL,1120,0.2073,0.0549,0.5314,0.05,0.0033,0.0045,54445,9264,0.357
Laguna College of Art and Design,CA,3,4,30,15,6,NULL,NULL,0.4879,0.0241,0.2099,0.1801,0.0071,0.0057,41551,8957,0.1326
Life Chiropractic College West,CA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7588,0.5
Lincoln University,CA,3,4,29,6,6,NULL,NULL,0.087,0.0761,0.0326,0.1087,0,0,21680,5157,0.6667
Southern California Seminary,CA,3,4,24,5,6,54,NULL,0.56,0.1,0.16,0.02,0,0.04,NULL,4120,0.275
La Sierra University,CA,3,4,19,11,10,95,1022,0.1224,0.0714,0.4826,0.1657,0.0036,0.0138,43906,8000,0.2997
Loma Linda University,CA,3,4,25,11,13,95,NULL,0.2728,0.0504,0.3213,0.2719,0.0019,0.0038,NULL,8360,0.9236
The Master's University and Seminary,CA,3,4,19,13,11,42,1143,0.6439,0.0329,0.092,0.0312,0.0008,0.0034,46764,8258,0.2464
Loyola Marymount University,CA,3,4,16,15,14,30,1321,0.4379,0.0705,0.2182,0.0956,0.0005,0.0021,64484,11733,0.5547
Menlo College,CA,3,3,29,13,8,NULL,1042,0.2295,0.0666,0.2691,0.0765,0.0028,0.0297,57546,11150,0.2101
Mills College,CA,3,4,19,11,11,NULL,1158,0.3672,0.1057,0.2999,0.0925,0.0053,0.0013,63047,10308,0.4611
Mount Saint Mary's University,CA,3,4,18,7,10,30,1031,0.0766,0.0647,0.6109,0.1609,0.0034,0.0055,54912,8998,0.2916
National University,CA,3,4,18,5,15,NULL,NULL,0.3408,0.1,0.2705,0.0845,0.0046,0.0145,NULL,10270,0.2163
Naval Postgraduate School,CA,4,4,18,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13679,0.8834
Newschool of Architecture and Design,CA,3,4,30,11,6,NULL,NULL,0.2264,0.0174,0.296,0.0672,0.005,0,43082,7193,0.1037
Notre Dame de Namur University,CA,3,4,19,7,10,30,983,0.1975,0.0494,0.4512,0.1137,0.0046,0.0184,52143,9117,0.2228
Occidental College,CA,3,3,21,14,11,NULL,1368,0.4911,0.0518,0.1435,0.1518,0,0.0026,71756,11293,0.7649
Otis College of Art and Design,CA,3,4,30,11,9,NULL,1158,0.2907,0.0435,0.0565,0.2565,0.0111,0.0019,61776,7871,0.1646
Hope International University,CA,3,4,19,7,10,48,1022,0.3419,0.0781,0.3176,0.039,0.0108,0.0162,42424,4582,0.2394
Palo Alto University,CA,3,4,26,11,6,NULL,NULL,0.1765,0.0588,0.2059,0.1569,0,0.0196,NULL,12264,0.4818
Pacific Oaks College,CA,3,4,32,5,6,NULL,NULL,0.1891,0.1113,0.5735,0.0357,0,0.0042,NULL,6038,0.0455
Pacific School of Religion,CA,4,4,24,0,18,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6946,0.7333
Pacific States University,CA,3,4,29,0,6,NULL,NULL,0,0,0,0,0,0,NULL,3500,NULL
Pacific Union College,CA,3,3,22,11,11,95,1080,0.2293,0.0732,0.262,0.1946,0.0039,0.0125,42620,6285,0.9348
University of the Pacific,CA,3,4,17,14,14,NULL,1240,0.2243,0.0322,0.2095,0.376,0.0038,0.0046,60487,10587,0.4884
Pepperdine University,CA,3,4,17,14,14,74,1330,0.4913,0.0484,0.1365,0.1014,0.0036,0.0022,70862,12387,0.6016
Pitzer College,CA,3,3,21,14,11,NULL,NULL,0.4664,0.0578,0.1409,0.1035,0.0028,0.0028,70500,11104,0.872
Point Loma Nazarene University,CA,3,4,18,15,14,59,1240,0.5137,0.0185,0.269,0.0744,0.0042,0.0096,49512,10189,1
Pomona College,CA,3,3,21,14,11,NULL,1468,0.3422,0.0962,0.1769,0.1491,0.0039,0.0026,69725,13451,0.9375
Pardee RAND Graduate School,CA,4,4,32,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Redlands,CA,3,4,18,14,14,NULL,1189,0.4109,0.0058,0.3328,0.0604,0.0061,0.0407,65220,10242,0.9664
Dongguk University-Los Angeles,CA,4,4,26,0,18,NULL,NULL,0,0,0,0,0,0,NULL,4225,NULL
Samuel Merritt University,CA,3,4,26,7,9,NULL,NULL,0.3045,0.0643,0.1903,0.3084,0.0013,0.0118,NULL,10646,0.4387
San Diego State University,CA,3,4,16,15,15,NULL,1213,0.3367,0.04,0.3151,0.1347,0.0035,0.0023,22990,10903,0.5183
University of San Diego,CA,3,4,16,15,13,30,1285,0.5047,0.0356,0.2038,0.071,0.0031,0.0035,64732,12284,0.5094
San Francisco Art Institute,CA,3,4,30,13,7,NULL,NULL,0.3838,0.0332,0.1845,0.0554,0.0074,0,69525,6928,0.191
San Francisco State University,CA,3,4,18,11,15,NULL,1054,0.1737,0.0556,0.3429,0.2569,0.0014,0.0045,24434,10744,0.4988
San Francisco Theological Seminary,CA,4,4,24,0,18,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7724,1
University of San Francisco,CA,3,4,17,15,16,30,1237,0.2543,0.0422,0.2147,0.2393,0.0021,0.0062,65185,12379,0.4199
San Joaquin College of Law,CA,4,4,31,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8393,0.3226
William Jessup University,CA,3,4,22,13,11,79,1084,0.5217,0.0482,0.1982,0.0441,0.0185,0.0056,44800,6907,0.2385
San Jose State University,CA,3,4,18,13,15,NULL,1143,0.1507,0.0329,0.2852,0.3614,0.0008,0.0048,24514,10626,0.4159
Santa Clara University,CA,3,4,17,14,14,30,1366,0.4856,0.0302,0.1804,0.1637,0.0013,0.0022,69155,12700,0.6376
Saybrook University,CA,4,4,32,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6383,0.0759
Scripps College,CA,3,4,21,14,11,NULL,1409,0.5296,0.0401,0.1355,0.1651,0,0.0019,71060,11478,0.7717
Shasta Bible College and Graduate School,CA,3,4,24,5,7,54,NULL,0.7838,0.0541,0.0541,0.027,0.027,0,21682,3022,NULL
