INSTNM,STABBR,PREDDEG,HIGHDEG,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,SAT_AVG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,COSTT4_A,AVGFACSAL,PFTFAC
Ottawa University-Ottawa,KS,3,4,22,11,8,52,1024,0.5439,0.1431,0.1204,0.0085,0.0269,0.0057,42254,6034,0.9767
Pittsburg State University,KS,3,4,18,13,13,NULL,1150,0.79,0.0379,0.0578,0.0105,0.0134,0.0014,18102,7365,0.7306
University of Saint Mary,KS,3,4,19,13,10,30,1083,0.4877,0.1202,0.1626,0.0109,0.0109,0.0123,39819,6256,0.4718
Southwestern College,KS,3,4,19,5,7,71,1050,0.417,0.1096,0.0921,0.0152,0.0076,0.0061,42702,5857,1
Sterling College,KS,3,3,22,10,8,NULL,1039,0.5634,0.1813,0.1778,0.0211,0.0246,0,36070,4383,0.6
Tabor College,KS,3,4,22,11,8,43,1066,0.6333,0.1133,0.1317,0,0.0083,0.0067,42451,5171,1
Washburn University,KS,3,4,17,7,12,NULL,NULL,0.6549,0.0638,0.1227,0.0132,0.0073,0.001,18960,7594,0.6022
Wichita State University,KS,3,4,16,9,15,NULL,1152,0.6033,0.0604,0.1257,0.0725,0.0068,0.0009,20038,7873,0.9759
Alice Lloyd College,KY,3,3,22,10,8,NULL,1054,0.9255,0.0264,0.0186,0,0.0062,0,24564,4992,0.7778
Asbury University,KY,3,4,20,13,11,NULL,NULL,0.7669,0.0432,0.067,0.0175,0.0044,0.0013,39831,6576,0.5183
Asbury Theological Seminary,KY,4,4,24,0,18,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8541,1
Bellarmine University,KY,3,4,17,14,13,30,1211,0.799,0.0486,0.0398,0.0201,0.002,0.0008,54872,8025,0.4189
Berea College,KY,3,3,21,14,11,NULL,1192,0.5387,0.1613,0.1196,0.027,0.0012,0.0006,35394,8137,0.8466
Brescia University,KY,3,4,22,9,7,30,1118,0.6275,0.1318,0.0719,0.0142,0.0054,0.0033,32926,5476,0.4245
Campbellsville University,KY,3,4,18,11,13,54,1082,0.6994,0.1352,0.0349,0.0044,0.0036,0.0016,38248,5384,0.4371
Centre College,KY,3,3,21,14,11,66,1354,0.7256,0.0533,0.0653,0.0456,0.0021,0.0007,53747,8327,0.9496
Clear Creek Baptist Bible College,KY,3,3,24,5,6,75,NULL,0.9273,0.0182,0,0.0091,0,0,17369,4524,0.75
University of the Cumberlands,KY,3,4,17,13,14,54,1141,0.3513,0.0224,0.0075,0.0033,0.0017,0.0008,35748,5193,0.317
Eastern Kentucky University,KY,3,4,18,13,16,NULL,1147,0.8447,0.0597,0.0314,0.008,0.0022,0.0007,22396,7122,0.5764
Frontier Nursing University,KY,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6802,0.8231
Georgetown College,KY,3,4,21,12,11,54,1146,0.7721,0.0968,0.0375,0.0073,0.0021,0,49761,6249,0.5247
Kentucky Mountain Bible College,KY,3,3,24,11,8,78,1032,0.8923,0.0308,0.0615,0,0,0,17665,1027,NULL
Kentucky State University,KY,3,4,22,11,10,NULL,937,0.1768,0.6229,0.0324,0.0138,0.0016,0.0081,18975,5894,0.8274
Kentucky Wesleyan College,KY,3,3,22,13,8,71,1115,0.6679,0.1277,0.0192,0.0115,0.0064,0,37572,5235,0.5517
University of Kentucky,KY,3,4,15,14,16,NULL,1239,0.7544,0.075,0.049,0.0279,0.0015,0.0008,28711,10688,0.8551
Kentucky Christian University,KY,3,4,22,13,8,48,1016,0.6554,0.1733,0.0299,0.002,0.004,0,32749,4789,0.3258
Lexington Theological Seminary,KY,4,4,24,0,18,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5597,0.2308
Lindsey Wilson College,KY,3,4,18,11,11,71,NULL,0.614,0.0971,0.0068,0.0026,0.0021,0.0016,37201,5942,0.5685
University of Louisville,KY,3,4,15,15,16,NULL,1227,0.7178,0.1157,0.0531,0.0402,0.0012,0.0003,26140,8724,0.598
Louisville Presbyterian Theological Seminary,KY,4,4,24,0,18,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5410,1
Midway University,KY,3,4,20,9,10,61,1081,0.7568,0.0714,0.083,0.0087,0.0048,0.001,39350,6515,0.2437
Morehead State University,KY,3,4,18,13,14,NULL,1150,0.8849,0.0374,0.0194,0.0048,0.0022,0.0006,21512,6554,0.7683
Murray State University,KY,3,4,18,13,13,NULL,1180,0.8231,0.0628,0.0205,0.0073,0.0015,0.0001,20984,6957,0.7882
Northern Kentucky University,KY,3,4,17,13,15,NULL,1148,0.8115,0.0744,0.033,0.0118,0.0025,0.0007,17711,7676,0.9728
University of Pikeville,KY,3,4,21,11,11,66,NULL,0.842,0.1035,0.0102,0.0065,0.0037,0,35966,6235,0.602
The Southern Baptist Theological Seminary,KY,3,4,24,9,10,75,1108,0.8627,0.0275,0.0195,0.0195,0.0011,0.0023,NULL,6831,1
Spalding University,KY,3,4,17,13,10,30,1065,0.6764,0.1759,0.0461,0.0157,0.0031,0,34596,7393,0.5024
Thomas More University,KY,3,4,19,12,10,30,1099,0.7688,0.0918,0.026,0.0057,0.0013,0.0032,38535,6610,0.528
Transylvania University,KY,3,3,21,10,8,61,1275,0.7953,0.0547,0.0385,0.0162,0.001,0,50080,7580,0.8
Union College,KY,3,4,20,11,10,71,1056,0.6999,0.1406,0.0229,0.002,0.006,0.002,37499,4877,1
Western Kentucky University,KY,3,4,17,13,16,NULL,1162,0.7827,0.0914,0.0345,0.0163,0.0024,0.0011,20365,7424,0.6473
Centenary College of Louisiana,LA,3,4,21,14,8,71,1173,0.6471,0.1415,0.1048,0.0202,0.0055,0.0018,52978,7278,0.7671
Dillard University,LA,3,3,21,10,11,71,NULL,0.0046,0.8373,0.0008,0.0023,0.0053,0.0023,31436,6355,0.5798
Grambling State University,LA,3,4,18,15,14,NULL,944,0.0107,0.9012,0.0151,0.0012,0.0015,0.0002,25927,5906,1
Louisiana State University Health Sciences Center-New Orleans,LA,3,4,25,7,10,NULL,NULL,0.7443,0.1071,0.0645,0.0459,0.0033,0,NULL,8379,0.707
Louisiana State University-Alexandria,LA,3,3,21,7,9,NULL,1050,0.6405,0.1964,0.0236,0.0135,0.0658,0,14488,6162,0.5949
Louisiana State University and Agricultural & Mechanical College,LA,3,4,15,14,15,NULL,1242,0.7067,0.1254,0.0672,0.045,0.0044,0.0012,28539,10192,0.9063
Louisiana State University-Shreveport,LA,3,4,18,9,12,NULL,1133,0.5223,0.2152,0.0543,0.0156,0.0046,0.0009,17712,7177,0.6816
Louisiana College,LA,3,4,20,13,11,75,1084,0.6435,0.2495,0.031,0.0086,0.0086,0.0011,25396,5501,0.5984
Louisiana Tech University,LA,3,4,16,14,16,NULL,1219,0.7054,0.1304,0.0411,0.0138,0.0044,0.0005,20098,7893,0.813
Loyola University New Orleans,LA,3,4,17,14,14,30,1192,0.4665,0.1667,0.1834,0.0335,0.0049,0.0014,52842,8583,0.6304
McNeese State University,LA,3,4,18,12,12,NULL,1127,0.6782,0.1662,0.038,0.0156,0.0051,0.0008,18978,6609,1
University of New Orleans,LA,3,4,16,13,13,NULL,1136,0.4957,0.179,0.1383,0.0887,0.0022,0.0007,19331,7979,0.668
Nicholls State University,LA,3,4,18,12,13,NULL,1117,0.6883,0.1892,0.0393,0.0108,0.02,0.0004,19041,6139,1
University of Louisiana at Monroe,LA,3,4,17,13,13,NULL,1135,0.6008,0.2533,0.0248,0.0181,0.0043,0.0003,20052,7372,1
Northwestern State University of Louisiana,LA,3,4,18,9,12,NULL,1102,0.5278,0.3168,0.0628,0.0068,0.014,0.0012,20612,6311,0.6116
University of Holy Cross,LA,3,4,20,9,6,30,NULL,0.4577,0.3013,0.1321,0.0336,0.0046,0.0012,21515,6866,0.5407
Franciscan Missionaries of Our Lady University,LA,3,4,26,5,6,30,1120,0.6616,0.1745,0.0915,0.0276,0.0076,0.0038,24610,7183,1
Saint Joseph Seminary College,LA,3,3,24,11,8,30,NULL,0.617,0.0071,0.2837,0.0496,0,0,35640,2984,0.8182
Southeastern Louisiana University,LA,3,4,18,12,15,NULL,1105,0.6277,0.2177,0.0723,0.0084,0.0029,0.0007,19673,6854,0.8194
Southern University and A & M College,LA,3,4,18,11,13,NULL,1019,0.0228,0.9303,0.0069,0.003,0.0023,0.0004,23377,7149,0.98
Southern University at New Orleans,LA,3,4,19,11,10,NULL,925,0.0168,0.7068,0.0064,0.0029,0.0029,0,12702,5890,0.6908
University of Louisiana at Lafayette,LA,3,4,16,13,15,NULL,1202,0.6496,0.201,0.0572,0.0234,0.0033,0.0013,20807,8337,0.7834
Tulane University of Louisiana,LA,3,4,15,14,17,NULL,1428,0.6918,0.0734,0.0768,0.0472,0.0021,0.0021,69517,11783,0.6278
Xavier University of Louisiana,LA,3,4,20,12,11,30,1133,0.0189,0.7985,0.0394,0.0558,0.0012,0.0008,34230,8817,0.8727
College of the Atlantic,ME,3,4,21,12,7,NULL,NULL,0.6514,0.0122,0.0459,0.0122,0,0,54969,8426,1
Bates College,ME,3,3,21,14,11,NULL,NULL,0.7063,0.0513,0.0753,0.0393,0.0011,0.0005,68870,11252,0.8655
Bowdoin College,ME,3,3,21,14,11,NULL,NULL,0.6077,0.0805,0.1036,0.0751,0.0022,0.0011,68070,12120,0.8588
Colby College,ME,3,3,21,14,11,NULL,1437,0.625,0.0415,0.0745,0.078,0.0025,0.0025,68582,11881,0.9176
University of Maine at Augusta,ME,3,3,22,5,9,NULL,NULL,0.8449,0.0146,0.0223,0.0096,0.0214,0,16535,7392,0.3525
University of Maine at Farmington,ME,3,4,22,10,11,NULL,NULL,0.8821,0.0244,0.0275,0.0092,0.0061,0,22158,7105,0.6919
University of Maine at Fort Kent,ME,3,3,22,5,6,NULL,1005,0.7832,0.0426,0.0329,0.0068,0.0097,0.0029,17604,6700,0.369
University of Maine at Machias,ME,3,3,21,7,7,NULL,NULL,0.8375,0.025,0.0417,0.0063,0.0354,0.0021,17588,6725,0.459
University of Maine,ME,3,4,16,12,13,NULL,1156,0.8445,0.0196,0.0411,0.0148,0.008,0.0002,23547,9486,0.699
Maine Maritime Academy,ME,3,4,22,12,11,NULL,1104,0.855,0.0133,0.0327,0.0133,0.0051,0.002,26962,11806,0.75
University of Maine at Presque Isle,ME,3,3,22,11,7,NULL,NULL,0.8154,0.0442,0.024,0.0101,0.019,0.0013,16620,6717,0.4615
University of New England,ME,3,4,16,12,14,NULL,1146,0.8907,0.0122,0.0025,0.0298,0.0034,0.0013,53663,8888,0.5169
Maine College of Art,ME,3,4,30,13,8,NULL,NULL,0.7391,0.0486,0.0742,0.0256,0.0153,0,48448,5935,0.2336
Saint Joseph's College of Maine,ME,3,4,18,6,10,30,1069,0.4915,0.0163,0.0198,0.0106,0.0064,0,49818,6196,0.987
University of Southern Maine,ME,3,4,18,7,12,NULL,1050,0.7906,0.0663,0.0329,0.0237,0.008,0.0006,19385,8795,0.336
Thomas College,ME,3,4,20,10,11,NULL,NULL,0.6642,0.0358,0.0099,0.0049,0.0025,0,37754,6673,0.5625
Unity College,ME,3,4,22,11,8,NULL,NULL,0.8597,0.0041,0.0082,0.0136,0.0204,0,40199,6046,0.4773
University of Baltimore,MD,3,4,18,7,12,NULL,1020,0.3246,0.473,0.0402,0.0467,0.006,0.0064,25674,10286,0.4952
Bowie State University,MD,3,4,18,11,13,NULL,NULL,0.0194,0.8286,0.0404,0.0131,0.0006,0.0019,21623,8399,0.5025
Capitol Technology University,MD,3,4,28,7,7,NULL,1070,0.4356,0.26,0.0913,0.0422,0.0023,0,36371,7277,0.1228
Washington Adventist University,MD,3,4,20,11,8,95,958,0.0514,0.4976,0.195,0.0299,0.0024,0.0024,32746,5463,0.3788
Coppin State University,MD,3,4,20,7,10,NULL,958,0.0224,0.8074,0.0288,0.0039,0.003,0,17464,7629,0.4762
Frostburg State University,MD,3,4,18,11,13,NULL,1025,0.5214,0.3308,0.0532,0.0218,0.0021,0.0002,21642,7059,0.6605
Goucher College,MD,3,4,21,12,11,NULL,NULL,0.5351,0.1779,0.1005,0.0427,0,0.002,58936,8355,0.7485
Hood College,MD,3,4,18,11,11,NULL,NULL,0.5757,0.1816,0.1101,0.031,0.0019,0.0009,53017,7624,0.4719
Johns Hopkins University,MD,3,4,15,14,16,NULL,1513,0.3061,0.071,0.1415,0.2612,0.0013,0.0023,69863,13332,0.9748
Loyola University Maryland,MD,3,4,18,12,14,30,NULL,0.7648,0.057,0.1049,0.0352,0.0016,0.0003,64159,8880,0.9613
University of Maryland Global Campus,MD,3,4,18,5,15,NULL,NULL,0.38,0.2683,0.1363,0.0466,0.0047,0.0063,17822,6278,0.0502
University of Maryland Baltimore,MD,3,4,25,7,13,NULL,NULL,0.4675,0.1951,0.0841,0.1682,0.0011,0,NULL,11265,0.4734
University of Maryland-Baltimore County,MD,3,4,16,15,16,NULL,1274,0.4005,0.1834,0.0777,0.2195,0.0019,0.0013,24522,9869,0.6915
University of Maryland-College Park,MD,3,4,15,15,16,NULL,1390,0.4965,0.1164,0.0961,0.1747,0.0011,0.0006,25919,13045,0.7799
Maryland Institute College of Art,MD,3,4,30,14,11,NULL,1178,0.3692,0.0744,0.097,0.1054,0.0006,0.0006,61990,8198,1
University of Maryland Eastern Shore,MD,3,4,16,11,14,NULL,960,0.095,0.7076,0.0402,0.0165,0.002,0.0008,24376,8202,0.7264
Morgan State University,MD,3,4,16,11,13,NULL,998,0.0175,0.7981,0.0336,0.0075,0.0016,0.0005,24084,8742,0.6872
Mount St. Mary's University,MD,3,4,19,12,11,30,1104,0.6098,0.1597,0.1213,0.0302,0.0027,0.0044,55420,7766,0.9928
Ner Israel Rabbinical College,MD,3,4,24,13,8,80,NULL,0.9036,0,0,0,0,0,22750,6898,1
Notre Dame of Maryland University,MD,3,4,18,7,10,30,1069,0.3856,0.291,0.1293,0.079,0.0012,0,50492,7023,0.4694
Salisbury University,MD,3,4,18,13,13,NULL,NULL,0.7061,0.1378,0.0431,0.0364,0.007,0.0017,24288,8015,0.6633
St. Mary's College of Maryland,MD,3,4,21,15,11,NULL,1188,0.7185,0.0917,0.0676,0.0371,0.0013,0.0013,29220,7402,0.7353
St. John's College,MD,3,4,21,14,8,NULL,1331,0.616,0.019,0.0506,0.038,0,0,65163,9699,1
Towson University,MD,3,4,17,13,16,NULL,1131,0.539,0.2289,0.0824,0.0634,0.0014,0.0011,24733,7347,0.5256
Maryland University of Integrative Health,MD,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5743,0.5455
United States Naval Academy,MD,3,3,21,14,14,NULL,1301,0.6257,0.0674,0.1152,0.0714,0.0018,0.006,NULL,11377,0.9911
Stevenson University,MD,3,4,18,13,14,NULL,1113,0.5565,0.2569,0.0619,0.0398,0.0023,0.0016,50032,8250,0.3243
Washington College,MD,3,3,21,14,11,NULL,NULL,0.7124,0.0939,0.0566,0.0328,0.006,0.0015,59375,7989,0.7229
McDaniel College,MD,3,4,18,13,11,NULL,1151,0.6265,0.1654,0.0707,0.0305,0.0032,0,55295,7064,0.2259
Hult International Business School,MA,3,4,29,15,10,NULL,NULL,0.0314,0.0087,0.0244,0.0192,0,0,60090,10392,0.2214
New England College of Business and Finance,MA,3,4,29,5,6,NULL,NULL,0.4107,0.2889,0.0777,0.0173,0.0038,0.0048,NULL,5880,1
American International College,MA,3,4,18,11,11,NULL,1010,0.3787,0.2211,0.2073,0.0153,0.0061,0.0077,47742,7017,0.1733
Amherst College,MA,3,3,21,14,11,NULL,1449,0.435,0.1073,0.1283,0.1509,0.0049,0,71300,12975,0.9158
Andover Newton Theological School,MA,4,4,24,0,18,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anna Maria College,MA,3,4,19,9,10,30,NULL,0.6401,0.1415,0.1202,0.0195,0.0088,0,51109,6468,0.2081
Assumption College,MA,3,4,19,12,11,30,NULL,0.7532,0.0511,0.078,0.0253,0.001,0.001,53303,8506,0.4932
Babson College,MA,3,4,29,14,11,NULL,1367,0.3617,0.0449,0.1144,0.1211,0.0008,0.0008,68482,16278,1
Boston Baptist College,MA,3,3,24,11,8,54,1010,0.8214,0.0536,0.1071,0,0,0,26691,4188,NULL
Bay Path University,MA,3,4,18,9,9,NULL,NULL,0.5513,0.1468,0.1999,0.0229,0.0026,0.0005,46315,7844,0.2148
Bay State College,MA,3,3,22,9,6,NULL,NULL,0.4386,0.2573,0.1272,0.0512,0.0015,0.0029,39751,7112,0.122
Becker College,MA,3,4,22,13,11,NULL,1087,0.6864,0.0783,0.0858,0.0272,0.0029,0.0029,53368,7972,0.2743
Bentley University,MA,3,4,18,14,14,NULL,1338,0.5906,0.0373,0.0718,0.0864,0.0002,0.001,66180,14104,0.6551
Berklee College of Music,MA,3,4,30,9,12,NULL,NULL,0.4346,0.0698,0.1015,0.0471,0.0019,0.0017,63027,9800,0.3934
Boston Architectural College,MA,3,4,30,11,6,NULL,NULL,0.3321,0.0812,0.155,0.0701,0,0,33031,6240,0.0802
Boston Graduate School of Psychoanalysis Inc,MA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4875,NULL
Boston College,MA,3,4,15,14,17,30,1429,0.5888,0.0408,0.1097,0.1008,0.0002,0.0003,70588,15323,0.6477
Boston University,MA,3,4,15,14,17,NULL,1420,0.3741,0.0412,0.1144,0.1595,0.0005,0.0013,70216,14136,0.7021
Brandeis University,MA,3,4,15,14,14,NULL,1398,0.4613,0.0527,0.083,0.1403,0.0006,0.0017,70848,13176,0.6805
Bridgewater State University,MA,3,4,18,13,13,NULL,1073,0.7314,0.1136,0.0712,0.0175,0.0014,0.0008,22590,9176,1
Cambridge College,MA,3,4,18,5,9,NULL,NULL,0.1739,0.3043,0.3609,0.0275,0.0043,0.0029,27140,7677,1
Clark University,MA,3,4,16,12,14,NULL,NULL,0.5866,0.04,0.087,0.0777,0.0004,0,54760,10859,1
Conway School of Landscape Design,MA,4,4,30,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5551,NULL
Curry College,MA,3,4,19,10,11,NULL,1026,0.6477,0.1183,0.0777,0.026,0.0034,0.0021,54643,10005,0.3541
Dean College,MA,3,3,23,10,11,NULL,1018,0.5537,0.138,0.1012,0.0118,0.0039,0.0016,55778,6487,0.1942
Eastern Nazarene College,MA,3,4,22,11,8,59,1054,0.5106,0.2128,0.1398,0.0274,0.0076,0.003,43845,5684,0.3026
Emerson College,MA,3,4,18,14,14,NULL,1307,0.6222,0.0317,0.1302,0.0472,0.0013,0.0005,65124,10202,0.4488
Emmanuel College,MA,3,4,21,14,11,30,1195,0.6893,0.0668,0.1159,0.0461,0.002,0.0005,55739,9049,0.4724
Endicott College,MA,3,4,18,10,14,NULL,NULL,0.8302,0.0162,0.0481,0.0135,0.0016,0.0007,49899,8764,0.2766
Fisher College,MA,3,4,22,5,9,NULL,NULL,0.2642,0.1118,0.1064,0.0115,0.0038,0.0023,47384,6910,0.2126
Fitchburg State University,MA,3,4,18,13,13,NULL,1078,0.687,0.1084,0.126,0.0224,0.001,0.0002,22403,9127,0.5267
Framingham State University,MA,3,4,18,11,13,NULL,1046,0.6259,0.1201,0.1601,0.0294,0.0011,0,24923,8888,0.622
Gordon College,MA,3,4,21,12,11,42,1184,0.6798,0.0465,0.0891,0.0521,0.0006,0,49450,7046,0.8819
Gordon-Conwell Theological Seminary,MA,4,4,24,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6548,0.9722
Hampshire College,MA,3,3,21,12,11,NULL,NULL,0.6119,0.0783,0.1157,0.0289,0.0026,0,67106,9404,0.7724
Harvard University,MA,3,4,15,14,17,NULL,1520,0.4054,0.0803,0.1133,0.1922,0.0024,0.0009,71135,20484,0.8649
Hebrew College,MA,4,4,24,0,6,NULL,NULL,1,0,0,0,0,0,NULL,6667,0.4211
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,3,4,24,13,8,91,NULL,0.7846,0,0.0154,0.0154,0,0,41282,5304,1
College of the Holy Cross,MA,3,3,21,14,11,30,NULL,0.7168,0.0446,0.0999,0.0439,0.001,0.0007,66111,11320,0.8792
Lasell University,MA,3,4,19,12,11,NULL,1074,0.6691,0.0752,0.097,0.023,0.0012,0.0012,51948,8241,0.3473
Lesley University,MA,3,4,17,9,13,NULL,1128,0.601,0.0754,0.148,0.0489,0.0019,0.0005,45871,8681,0.2344
University of Massachusetts-Lowell,MA,3,4,16,9,16,NULL,1240,0.5986,0.0637,0.1177,0.1146,0.0009,0.0005,28201,11606,0.5873
University of Massachusetts-Amherst,MA,3,4,15,15,17,NULL,1302,0.6193,0.0456,0.0694,0.1024,0.0012,0.0006,30013,12254,0.7927
University of Massachusetts-Boston,MA,3,4,16,9,15,NULL,NULL,0.3371,0.1714,0.1651,0.1366,0.0011,0.0002,23356,10730,0.6219
MCPHS University,MA,3,4,26,13,13,NULL,1144,0.3641,0.0864,0.0801,0.2169,0.0031,0.001,51537,9843,0.3724
Massachusetts College of Art and Design,MA,3,4,30,13,11,NULL,NULL,0.61,0.047,0.1034,0.0815,0.0016,0.0022,28776,9626,0.8824
Massachusetts Institute of Technology,MA,3,4,15,14,17,NULL,1545,0.3167,0.0615,0.1523,0.2787,0.0013,0.0004,67430,18852,0.9865
Massachusetts Maritime Academy,MA,3,4,22,12,11,NULL,1127,0.8724,0.0103,0.0369,0.0121,0.0012,0,25659,9674,0.6286
University of Massachusetts Medical School Worcester,MA,4,4,25,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10220,0.8065
William James College,MA,4,4,26,5,6,NULL,NULL,0.5714,0.1429,0.1429,0,0.0714,0,NULL,8979,0.4932
Merrimack College,MA,3,4,18,10,14,30,NULL,0.7656,0.0323,0.0746,0.0181,0,0.0005,55485,8821,0.4817
MGH Institute of Health Professions,MA,3,4,26,0,9,NULL,NULL,0.6981,0.066,0.0566,0.066,0,0,NULL,8876,0.8203
Montserrat College of Art,MA,3,3,30,10,8,NULL,NULL,0.4488,0.036,0.0914,0.0249,0,0,46659,6593,0.2794
Mount Holyoke College,MA,3,4,21,14,11,NULL,1395,0.4539,0.0452,0.0726,0.0977,0.0014,0.0018,63810,10739,0.8831
The New England Conservatory of Music,MA,3,4,30,14,8,NULL,NULL,0.3618,0.0247,0.036,0.0854,0,0,66030,5975,0.2682
New England College of Optometry,MA,3,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9728,0.7143
New England Law-Boston,MA,4,4,31,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13852,0.3077
Newbury College,MA,3,3,22,12,7,NULL,NULL,0.2787,0.2189,0.1496,0.0394,0.0031,0,50096,6997,0.2444
Nichols College,MA,3,4,29,10,11,NULL,NULL,0.771,0.0697,0.0834,0.0144,0.0015,0.0008,50385,6556,0.3571
Massachusetts College of Liberal Arts,MA,3,4,21,13,11,NULL,1112,0.7143,0.0849,0.1,0.0238,0.0032,0.0008,23488,8772,0.5287
Northeastern University,MA,3,4,15,14,17,NULL,1466,0.4523,0.0387,0.0842,0.14,0.0004,0.0002,67894,13158,0.7429
College of Our Lady of the Elms,MA,3,4,19,11,10,30,1070,0.5546,0.1012,0.1393,0.0177,0,0,47180,6671,0.2996
Pine Manor College,MA,3,4,21,15,8,NULL,NULL,0.1044,0.3173,0.2731,0.0482,0.0201,0,46840,6099,0.375
Pope St John XXIII National Seminary,MA,4,4,24,0,18,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5066,1
Regis College,MA,3,4,26,10,11,30,NULL,0.476,0.1204,0.1197,0.0323,0,0.0007,56683,8141,0.3513
Saint John's Seminary,MA,3,4,24,11,8,30,NULL,0.5417,0,0.125,0,0,0,NULL,3765,0.8824
Salem State University,MA,3,4,18,13,13,NULL,1065,0.6163,0.098,0.174,0.0309,0.0013,0.0006,24954,8969,0.9823
Simmons University,MA,3,4,17,14,14,NULL,1228,0.6335,0.0704,0.0642,0.1145,0.0006,0.0006,57361,8124,0.1658
Smith College,MA,3,4,21,14,11,NULL,NULL,0.478,0.0665,0.1154,0.0933,0.0012,0.0008,69563,11672,0.7924
Springfield College,MA,3,4,18,12,14,NULL,1156,0.7351,0.058,0.0899,0.0223,0.0029,0.001,51604,8013,1
University of Massachusetts-Dartmouth,MA,3,4,16,13,14,NULL,1093,0.5911,0.1636,0.1047,0.0388,0.0018,0.0002,27142,10873,0.6967
Stonehill College,MA,3,3,21,12,11,30,NULL,0.8445,0.0388,0.0491,0.0182,0.0012,0,58424,9533,0.6288
Suffolk University,MA,3,4,18,13,13,NULL,1131,0.4749,0.0523,0.1259,0.0724,0.0018,0.0006,52681,12064,0.5417
Tufts University,MA,3,4,15,14,17,NULL,1461,0.5519,0.0427,0.0693,0.131,0.0002,0.0002,70567,12396,0.6399
Wellesley College,MA,3,3,21,14,11,NULL,1435,0.3834,0.0652,0.1325,0.2174,0.0013,0,69034,12404,0.7724
Wentworth Institute of Technology,MA,3,4,19,14,14,NULL,1183,0.6291,0.0595,0.0656,0.0809,0.0007,0.0009,50348,8743,1
Western New England University,MA,3,4,17,12,14,NULL,1160,0.744,0.043,0.0914,0.0339,0.0033,0.0025,50234,9385,0.6989
Westfield State University,MA,3,4,19,13,14,NULL,1086,0.7546,0.0477,0.1006,0.0139,0.0023,0.0002,22566,9443,0.4508
Wheaton College,MA,3,3,21,14,11,NULL,1280,0.652,0.0543,0.0823,0.0474,0.0017,0,65517,9359,0.6818
Williams College,MA,3,4,21,14,11,NULL,1490,0.503,0.0819,0.1312,0.1262,0.001,0,70650,12715,0.8644
Worcester Polytechnic Institute,MA,3,4,16,14,13,NULL,NULL,0.6296,0.03,0.0925,0.0468,0.0031,0.0004,64730,12477,0.8234
Worcester State University,MA,3,4,18,13,13,NULL,NULL,0.6483,0.0879,0.1323,0.0482,0.0036,0.0008,20923,8832,0.4549
Adrian College,MI,3,4,22,10,11,71,1072,0.6828,0.0685,0.0539,0.0034,0.0022,0.0006,51626,8097,0.5076
Albion College,MI,3,3,21,12,11,71,1132,0.6276,0.1508,0.1019,0.0205,0.0026,0,56722,7552,0.7742
Alma College,MI,3,3,22,12,11,66,1135,0.7858,0.033,0.0509,0.0136,0.0057,0.0007,52252,7500,0.7122
Andrews University,MI,3,4,17,13,11,95,1182,0.2694,0.191,0.1487,0.1351,0.0027,0.0027,38948,4951,0.9724
Aquinas College,MI,3,4,21,12,11,30,1133,0.6926,0.0364,0.0714,0.0154,0.0056,0.0007,41612,6336,0.4466
Calvin University,MI,3,4,20,14,14,35,1270,0.6885,0.0355,0.0507,0.0504,0.0014,0,46150,8651,1
Calvin Theological Seminary,MI,4,4,24,0,18,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8128,0.8095
Michigan School of Psychology,MI,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7758,0.3871
Central Michigan University,MI,3,4,16,13,16,NULL,1115,0.7665,0.0956,0.0498,0.0106,0.0077,0.0005,23890,9350,0.7235
Cleary University,MI,3,4,29,7,6,NULL,1039,0.6477,0.116,0.0063,0.0148,0.0105,0,30418,5074,0.0746
Cranbrook Academy of Art,MI,4,4,30,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9788,0.8333
College for Creative Studies,MI,3,4,30,13,10,NULL,1097,0.549,0.0921,0.0575,0.0531,0.0022,0.0015,56469,10293,1
