Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
Franklin College,931,IN,USN National College Ranking,145,0.75,9900,B,239000,668000,6295,32010,94113,0.14,Challenged
Furman University,2725,SC,USN National College Ranking,46,0.61,40500,A,265000,763000,10163,49532,257928,0.03,Struggle
Gallaudet University,1341,DC,USN National University Ranking,179,0.57,27100,B+,175000,477000,26489,17038,136591,0.02,Thrive
Gannon University,3268,PA,USN National University Ranking,218,0.81,22200,B+,275000,743000,6834,32136,19407,0.07,Challenged
Gardner-Webb University,1854,NC,USN National University Ranking,281,0.48,12100,B-,207000,584000,8787,32000,35559,0.03,Struggle
George Fox University,3003,OR,USN National University Ranking,246,0.82,22200,A-,218000,657000,7806,36020,7872,0.02,Challenged
George Mason University,25710,VA,USN National University Ranking,153,0.81,135000,A-,369000,952000,8149,24192,3304,0.02,Survive
George Washington University,19099,DC,USN National University Ranking,70,0.42,135000,A,389000,1066000,14116,55230,94183,0.11,Survive
Georgetown College,912,KY,USN National College Ranking,157,0.48,14800,C+,230000,649000,6706,38650,45729,0.01,Struggle
Georgetown University,14741,DC,USN National University Ranking,24,0.15,165000,A+,567000,1477000,16902,54104,120043,0.09,Survive
Georgia Institute of Technology-Main Campus,20864,GA,USN National University Ranking,29,0.22,33100,A+,558000,1328000,9810,22722,100226,0.12,Survive
Georgia State University,26157,GA,USN National University Ranking,211,0.71,90500,A,267000,689000,5613,16542,6577,0.04,Survive
Gettysburg College,2433,PA,USN National College Ranking,53,0.45,33100,A-,305000,851000,9532,54480,136137,0.03,Struggle
Gonzaga University,5844,WA,USN National University Ranking,79,0.66,33100,A,289000,836000,8570,43210,49085,0.1,Survive
Goucher College,1536,MD,USN National College Ranking,111,0.8,22200,C+,236000,712000,9334,44300,139923,0.02,Struggle
Grand Valley State University,20653,MI,USN National University Ranking,228,0.83,49500,A,258000,674000,5688,15123,6188,0.01,Survive
Grinnell College,1679,IA,USN National College Ranking,14,0.24,40500,A-,261000,739000,14422,52392,1186185,0.17,Survive
Guilford College,1393,NC,USN National College Ranking,154,0.64,18100,C+,174000,529000,5486,37120,62262,0.01,Struggle
Gustavus Adolphus College,2213,MN,USN National College Ranking,89,0.66,9900,A-,308000,812000,7516,45400,83007,0.03,Struggle
Hamilton College,1991,NY,USN National College Ranking,14,0.21,40500,A,350000,937000,14195,54620,508710,0.08,Thrive
Hampden-Sydney College,1070,VA,USN National College Ranking,111,0.59,12100,B+,250000,758000,8354,45746,159503,0.01,Struggle
Hampton University,4050,VA,USN National University Ranking,218,0.44,74000,C+,222000,657000,5337,26702,70455,0.03,Struggle
Hanover College,1097,IN,USN National College Ranking,105,0.79,12100,B+,250000,702000,6677,37670,130909,0.03,Struggle
Harding University,4380,AR,USN National University Ranking,240,0.75,22200,B,233000,631000,6175,19845,32581,0.04,Challenged
Hartwick College,1156,NY,USN National College Ranking,160,0.83,14800,C+,232000,678000,8249,45510,66872,0.02,Struggle
Harvard University,21006,MA,USN National University Ranking,2,0.05,246000,A+,640000,1513000,31938,50420,1867740,0.13,Thrive
Harvey Mudd College,887,CA,USN National College Ranking,23,0.14,18100,B,537000,1402000,16804,56620,357176,0.1,Thrive
Haverford College,1308,PA,USN National College Ranking,11,0.19,33100,A+,319000,910000,13294,54838,396701,0.14,Survive
Hendrix College,1199,AR,USN National College Ranking,92,0.72,27100,A,214000,601000,7888,45790,172130,0.01,Struggle
Hobart William Smith Colleges,2220,NY,USN National College Ranking,72,0.57,590,B-,254000,775000,9056,55255,104531,0.04,Struggle
Hofstra University,9331,NY,USN National University Ranking,162,0.63,90500,B,256000,773000,10759,45700,65527,0.05,Challenged
Hollins University,718,VA,USN National College Ranking,102,0.64,14800,B-,177000,522000,11201,39035,259519,0.09,Struggle
Hope College,3032,MI,USN National College Ranking,105,0.76,22200,A-,234000,684000,7515,34010,74425,0.02,Struggle
Houghton College,937,NY,USN National College Ranking,124,0.95,12100,C+,205000,570000,5361,32488,60000,0.02,Struggle
Howard University,8500,DC,USN National University Ranking,104,0.32,165000,A,269000,748000,12625,26756,81007,0.02,Thrive
Illinois College,976,IL,USN National College Ranking,136,0.76,18100,B+,252000,669000,6150,33090,141141,0.04,Struggle
Illinois Institute of Technology,5786,IL,USN National University Ranking,117,0.58,14800,C,439000,1112000,10773,47646,42958,0.13,Challenged
Illinois State University,18207,IL,USN National University Ranking,197,0.89,74000,A,271000,730000,12406,20278,7076,0.02,Survive
Illinois Wesleyan University,1689,IL,USN National College Ranking,80,0.59,5400,A-,322000,897000,10221,47636,138434,0.03,Struggle
Immaculata University,1018,PA,USN National University Ranking,211,0.81,18100,C+,252000,745000,7296,27350,19329,0,Struggle
Indiana University-Bloomington,38311,IN,USN National University Ranking,79,0.77,22200,A+,309000,774000,9558,23069,30123,0.07,Survive
Indiana University-Purdue University-Indianapolis,22375,IN,USN National University Ranking,228,0.81,60500,B,284000,698000,12574,19643,52647,0.02,Thrive
Iowa State University,31213,IA,USN National University Ranking,121,0.91,60500,A+,330000,823000,6596,16190,32585,0.03,Survive
Johns Hopkins University,14600,MD,USN National University Ranking,10,0.11,110000,A-,425000,1138000,67591,53740,287022,0.11,Thrive
Juniata College,1348,PA,USN National College Ranking,82,0.7,14800,B,259000,738000,7506,45597,90732,0.05,Struggle
Kalamazoo College,1457,MI,USN National College Ranking,72,0.73,14800,A-,261000,736000,8558,48666,165404,0.05,Struggle
Kansas State University,18838,KS,USN National University Ranking,162,0.93,40500,A+,276000,720000,7525,18135,28617,0.02,Thrive
Kent State University at Kent,21700,OH,USN National University Ranking,211,0.85,74000,A,212000,582000,6108,14663,6721,0.02,Challenged
Kenyon College,1721,OH,USN National College Ranking,27,0.36,33100,A-,230000,704000,12299,55930,240479,0.12,Challenged
Knox College,1310,IL,USN National College Ranking,66,0.74,14800,B+,202000,588000,8143,46554,122201,0.12,Challenged
Lafayette College,2603,PA,USN National College Ranking,39,0.29,49500,A-,394000,1062000,11307,53630,334515,0.08,Thrive
Lake Forest College,1477,IL,USN National College Ranking,92,0.58,18100,B-,281000,776000,6733,47064,61368,0.13,Challenged
Lawrence University,1420,WI,USN National College Ranking,58,0.62,18100,A-,211000,640000,10481,47475,239318,0.14,Challenged
Lehigh University,6093,PA,USN National University Ranking,50,0.22,74000,A,476000,1274000,13918,52930,222077,0.1,Thrive
Lesley University,2369,MA,USN National University Ranking,246,0.76,18100,C,156000,533000,11800,27975,80242,0.03,Struggle
Lewis & Clark College,2939,OR,USN National College Ranking,72,0.74,2400,A-,190000,640000,10079,50934,80168,0.04,Struggle
Lincoln Memorial University,3824,TN,USN National University Ranking,254,0.6,22200,B-,216000,588000,6889,22010,10375,0,Struggle
Linfield College-McMinnville Campus,1334,OR,USN National College Ranking,117,0.81,14800,B,313000,851000,12608,43302,93357,0.06,Struggle
Lipscomb University,4211,TN,USN National University Ranking,218,0.6,27100,A-,223000,644000,6926,32144,20194,0.03,Challenged
Long Island University,8497,NY,USN National University Ranking,240,0.76,22200,C,237000,715000,10890,37763,27350,0.16,Challenged
Louisiana State University - Baton Rouge,25444,LA,USN National University Ranking,153,0.74,1000000,A,306000,794000,6185,20289,20783,0.01,Thrive
Louisiana Tech University,8877,LA,USN National University Ranking,272,0.63,8100,A-,282000,686000,3360,14102,8112,0.01,Survive
Loyola Marymount University,8750,CA,USN National University Ranking,64,0.47,60500,A,279000,876000,10223,48522,54577,0.09,Survive
Loyola University Chicago,14997,IL,USN National University Ranking,104,0.68,33100,A-,265000,792000,7976,44048,42695,0.03,Struggle
Loyola University New Orleans,3306,LA,USN National University Ranking,197,0.94,18100,A,245000,704000,7644,39942,69015,0.04,Struggle
Luther College,1977,IA,USN National College Ranking,100,0.63,14800,A,245000,707000,7473,42290,84645,0.1,Challenged
Lycoming College,1135,PA,USN National College Ranking,117,0.66,14800,B+,258000,703000,6244,40315,182907,0.07,Struggle
Macalester College,2140,MN,USN National College Ranking,25,0.41,27100,A,234000,697000,10816,54344,360418,0.17,Challenged
Marlboro College,140,VT,USN National College Ranking,136,0.59,5400,C+,134000,403000,18824,40840,268712,0.03,Struggle
Marquette University,10390,WI,USN National University Ranking,84,0.82,60500,A-,354000,963000,7422,41870,64370,0.02,Thrive
Mary Baldwin University,1371,VA,USN National University Ranking,272,1,14800,C,206000,568000,6646,31110,25070,0,Struggle
Maryville University of Saint Louis,3308,MO,USN National University Ranking,202,0.95,49500,A,268000,728000,7756,28470,16531,0.04,Challenged
Massachusetts College of Liberal Arts,1121,MA,USN National College Ranking,140,0.74,2400,C-,197000,546000,9094,15032,11434,0.02,Challenged
Massachusetts Institute of Technology,11402,MA,USN National University Ranking,3,0.07,18100,A+,724000,1743000,39753,51832,1438347,0.09,Thrive
Mercer University,7102,GA,USN National University Ranking,153,0.72,49500,B+,278000,748000,7931,36894,48716,0.01,Struggle
Meredith College,1666,NC,USN National College Ranking,148,0.63,14800,B,196000,581000,7534,37176,68147,0.06,Challenged
Miami University-Oxford,17712,OH,USN National University Ranking,91,0.75,90500,A,270000,728000,6308,25138,30188,0.07,Survive
Michigan State University,43863,MI,USN National University Ranking,84,0.78,90500,A+,329000,851000,11087,27113,75385,0.09,Survive
Michigan Technological University,6438,MI,USN National University Ranking,147,0.74,6600,A-,447000,1094000,6459,24686,17902,0.01,Thrive
Middlebury College,2551,VT,USN National College Ranking,7,0.17,49500,A,326000,893000,20248,54450,440668,0.11,Thrive
Millsaps College,845,MS,USN National College Ranking,124,0.59,12100,A-,266000,734000,9162,39910,120091,0.05,Struggle
Misericordia University,1957,PA,USN National University Ranking,192,0.83,18100,B-,279000,770000,7354,33240,26763,0,Struggle
Mississippi State University,18709,MS,USN National University Ranking,211,0.57,33100,A,240000,631000,5068,15950,27053,0.01,Thrive
Missouri University of Science and Technology,7117,MO,USN National University Ranking,179,0.84,5400,B,494000,1188000,8395,17951,26814,0.02,Thrive
Monmouth College,905,IL,USN National College Ranking,124,0.69,14800,B,246000,650000,7068,37674,130558,0.02,Struggle
Montana State University,13085,MT,USN National University Ranking,246,0.82,60500,A-,252000,672000,5697,16135,12474,0.04,Survive
Montclair State University,16547,NJ,USN National University Ranking,166,0.71,74000,B+,295000,778000,6342,16684,2654,0,Survive
Moravian College,2001,PA,USN National College Ranking,136,0.73,18100,B-,272000,769000,7439,43636,58070,0.01,Struggle
Morehouse College,2146,GA,USN National College Ranking,154,0.58,49500,A-,154000,561000,6660,27576,67633,0.01,Struggle
Mount Holyoke College,2193,MA,USN National College Ranking,32,0.51,22200,B+,242000,716000,13116,49998,354646,0.28,Challenged
Muhlenberg College,2248,PA,USN National College Ranking,72,0.62,33100,B-,312000,891000,10394,52595,127192,0.02,Struggle
New Jersey Institute of Technology,8572,NJ,USN National University Ranking,97,0.64,8100,B-,439000,1106000,8704,25044,13257,0.04,Survive
New Mexico State University-Main Campus,11133,NM,USN National University Ranking,263,0.66,18100,B,224000,561000,6339,14228,3846,0.02,Challenged
New York University,43140,NY,USN National University Ranking,29,0.2,110000,A+,293000,896000,19491,51828,97872,0.19,Survive
North Carolina A & T State University,10458,NC,USN National University Ranking,281,0.61,9900,A,216000,554000,5530,13217,6103,0.04,Survive
North Carolina State University at Raleigh,28368,NC,USN National University Ranking,84,0.47,880,A+,336000,847000,11171,18773,45606,0.03,Thrive
North Dakota State University-Main Campus,11269,ND,USN National University Ranking,281,0.93,14800,A,310000,780000,5761,11404,46,0.05,Survive
Northeastern University,20785,MA,USN National University Ranking,40,0.19,165000,A+,388000,1044000,11707,51522,40787,0.16,Survive
Northwestern University,17748,IL,USN National University Ranking,9,0.08,165000,A+,434000,1106000,30281,54568,472556,0.12,Thrive
Nova Southeastern University,13150,FL,USN National University Ranking,246,0.79,74000,B+,243000,685000,12670,30900,12254,0.07,Challenged
Oberlin College,2785,OH,USN National College Ranking,33,0.36,60500,B,160000,557000,15344,55052,340089,0.13,Challenged
Occidental College,1907,CA,USN National College Ranking,39,0.37,49500,B+,258000,751000,11749,54686,227705,0.07,Struggle
Ohio State University-Main Campus,53129,OH,USN National University Ranking,54,0.52,1000000,A+,279000,728000,11323,20734,97683,0.12,Survive
Ohio University-Main Campus,20184,OH,USN National University Ranking,185,0.78,135000,A+,220000,614000,7319,16924,28186,0.05,Survive
Ohio Wesleyan University,1547,OH,USN National College Ranking,92,0.69,6600,B-,226000,667000,9368,45760,154895,0.08,Struggle
Oklahoma City University,2339,OK,USN National University Ranking,240,0.76,12100,B+,210000,627000,10025,31026,49452,0.02,Struggle
Oklahoma State University-Main Campus,19387,OK,USN National University Ranking,192,0.74,49500,A+,299000,751000,6089,16779,21047,0.03,Survive
Old Dominion University,16605,VA,USN National University Ranking,263,0.87,60500,A-,272000,698000,7080,20010,14340,0.03,Challenged
Oregon State University,22133,OR,USN National University Ranking,139,0.81,90500,A,286000,769000,7967,20654,30544,0.02,Thrive
Pace University,10287,NY,USN National University Ranking,202,0.76,90500,B+,321000,908000,8554,45280,17678,0.08,Challenged
Pacific University,3725,OR,USN National University Ranking,185,0.85,22200,B-,213000,667000,7418,44298,18447,0.02,Challenged
Pennsylvania State University-Main Campus,45140,PA,USN National University Ranking,57,0.57,368000,A+,249000,737000,13668,26656,64060,0.1,Survive
Pepperdine University,5645,CA,USN National University Ranking,50,0.36,135000,B+,343000,981000,9781,53932,160167,0.12,Survive
Pitzer College,1050,CA,USN National College Ranking,35,0.13,18100,A,233000,707000,10851,54056,134728,0.08,Challenged
Pomona College,1559,CA,USN National College Ranking,5,0.08,60500,A+,371000,937000,21239,52780,1458439,0.12,Thrive
Presbyterian College,1240,SC,USN National College Ranking,140,0.69,18100,B+,262000,695000,7221,38660,74077,0.02,Struggle
Princeton University,8267,NJ,USN National University Ranking,1,0.05,165000,A+,537000,1264000,24678,50340,3077087,0.14,Thrive
Purdue University-Main Campus,38395,IN,USN National University Ranking,57,0.58,201000,A+,369000,906000,12121,19393,60866,0.09,Survive
Quinnipiac University,8624,CT,USN National University Ranking,153,0.72,40500,B+,315000,931000,11996,47960,61058,0.02,Struggle
Randolph College,608,VA,USN National College Ranking,132,0.87,8100,C+,181000,568000,10591,39585,260012,0.05,Struggle
Randolph-Macon College,1464,VA,USN National College Ranking,111,0.67,9900,C+,253000,732000,6616,41300,113539,0.03,Struggle
Reed College,1453,OR,USN National College Ranking,68,0.35,33100,A,166000,577000,12364,56340,400561,0.1,Struggle
Regent University,3628,VA,USN National University Ranking,281,0.82,40500,A-,235000,640000,5780,18380,19846,0,Struggle
Regis University,5086,CO,USN National University Ranking,202,0.6,33100,A,342000,891000,6578,36810,12808,0.05,Survive
Rensselaer Polytechnic Institute,7798,NY,USN National University Ranking,50,0.43,40500,A-,473000,1272000,9045,53880,91709,0.16,Survive
Rhodes College,2014,TN,USN National College Ranking,53,0.45,33100,A-,290000,812000,9407,47890,178391,0.04,Thrive
Rice University,6765,TX,USN National University Ranking,17,0.11,135000,A+,425000,1062000,33564,47350,920748,0.14,Thrive
Ripon College,788,WI,USN National College Ranking,105,0.69,9900,B-,261000,704000,6862,43808,117755,0.03,Struggle
Roanoke College,1956,VA,USN National College Ranking,130,0.72,22200,A-,220000,655000,7323,44155,78007,0.02,Struggle
Robert Morris University,3683,PA,USN National University Ranking,202,0.84,33100,B-,253000,718000,7716,30300,9921,0.04,Challenged
Rochester Institute of Technology,14867,NY,USN National University Ranking,104,0.66,33100,B+,337000,944000,10384,42345,63104,0.06,Survive
Rowan University,15661,NJ,USN National University Ranking,166,0.73,74000,B+,280000,767000,7421,18018,13230,0.01,Thrive
Rutgers University-Camden,5376,NJ,USN National University Ranking,166,0.71,2400,B-,387000,951000,9628,22724,10501,0.03,Survive
Rutgers University-New Brunswick,42753,NJ,USN National University Ranking,62,0.6,8100,A+,353000,917000,11234,23128,23742,0.09,Survive
Rutgers University-Newark,9591,NJ,USN National University Ranking,132,0.63,5400,A-,387000,951000,9194,22563,16920,0.04,Survive
Sacred Heart University,6325,CT,USN National University Ranking,218,0.6,74000,B+,252000,798000,6418,41420,26467,0.01,Struggle
Saint Anselm College,2007,NH,USN National College Ranking,114,0.77,14800,B,311000,879000,7728,41200,78700,0.01,Struggle
Saint John Fisher College,3161,NY,USN National University Ranking,166,0.64,390,A-,254000,720000,8290,34310,29668,0,Struggle
Saint Johns University,1697,MN,USN National College Ranking,92,0.8,8100,B+,350000,940000,7236,44990,115949,0.04,Struggle
Saint Louis University,10520,MO,USN National University Ranking,97,0.58,40500,A,313000,863000,14140,43884,116549,0.05,Thrive
Saint Mary's College,3196,IN,USN National College Ranking,102,0.82,22200,B,268000,718000,3823,42220,60822,0.02,Struggle
Saint Michael's College,1725,VT,USN National College Ranking,124,0.83,8100,B,251000,746000,7238,45375,52135,0.02,Struggle
Saint Norbert College,2113,WI,USN National College Ranking,145,0.78,1000,A,245000,697000,6280,38129,69256,0.03,Struggle
Saint Vincent College,1717,PA,USN National College Ranking,132,0.68,9900,B-,269000,732000,5502,35462,63960,0,Struggle
Salem College,561,NC,USN National College Ranking,132,0.39,6600,C+,206000,560000,10955,29166,108152,0,Struggle
Sam Houston State University,15745,TX,USN National University Ranking,281,0.79,74000,A-,291000,725000,4644,13276,7992,0,Thrive
Samford University,5292,AL,USN National University Ranking,147,0.82,40500,A-,244000,730000,9025,31650,65254,0.01,Struggle
San Diego State University,30451,CA,USN National University Ranking,147,0.35,74000,A+,326000,823000,4228,13414,10044,0.04,Survive
Santa Clara University,7569,CA,USN National University Ranking,54,0.5,60500,A,419000,1126000,11055,51711,129376,0.08,Survive
Sarah Lawrence College,1655,NY,USN National College Ranking,68,0.56,27100,C,167000,586000,10539,55900,68731,0.12,Challenged
Scripps College,1063,CA,USN National College Ranking,33,0.24,22200,A,267000,794000,10636,55024,340588,0.05,Struggle
Seattle Pacific University,3125,WA,USN National University Ranking,192,0.9,22200,B+,235000,714000,7749,42939,35227,0.03,Struggle
Seattle University,5904,WA,USN National University Ranking,139,0.76,49500,A,275000,826000,11226,44610,40851,0.02,Struggle
Seton Hall University,7589,NJ,USN National University Ranking,139,0.7,33100,A-,320000,877000,7771,42170,33960,0.04,Challenged
Sewanee - The University of the South,1785,TN,USN National College Ranking,43,0.67,18100,A-,226000,669000,10686,45120,229020,0.03,Struggle
Shenandoah University,2909,VA,USN National University Ranking,263,0.7,33100,B,218000,664000,8682,32530,22751,0.04,Challenged
Simmons University,3119,MA,USN National University Ranking,125,0.7,18100,C+,304000,848000,13294,40850,62475,0.04,Struggle
Simpson College,1260,IA,USN National College Ranking,136,0.84,12100,B,268000,731000,6562,39144,69006,0,Struggle
Skidmore College,2585,NY,USN National College Ranking,39,0.27,33100,A,258000,742000,11956,54420,146747,0.12,Challenged
Smith College,2868,MA,USN National College Ranking,11,0.31,49500,A,241000,691000,16532,52404,653798,0.16,Challenged
South Dakota State University,8727,SD,USN National University Ranking,272,0.92,22200,A-,241000,673000,6211,10446,13421,0.02,Survive
Southern Illinois University-Carbondale,10386,IL,USN National University Ranking,254,0.72,4400,B,253000,670000,10017,21932,14357,0.1,Challenged
Southern Methodist University,8895,TX,USN National University Ranking,64,0.51,27100,A+,331000,922000,14250,54492,182038,0.05,Thrive
Southwestern University,1416,TX,USN National College Ranking,92,0.45,33100,B-,297000,823000,6925,42000,198782,0.02,Struggle
Spelman College,2123,GA,USN National College Ranking,57,0.39,60500,A,180000,638000,7862,29064,183423,0.01,Struggle
St Catherine University,2788,MN,USN National University Ranking,228,0.73,9900,B,295000,775000,9663,39554,33558,0.01,Struggle
St John's University-New York,14521,NY,USN National University Ranking,179,0.73,90500,B+,303000,841000,7786,41760,52069,0.05,Challenged
St Lawrence University,2449,NY,USN National College Ranking,58,0.46,18100,A-,257000,745000,9660,54846,124822,0.09,Challenged
St Olaf College,3023,MN,USN National College Ranking,62,0.5,22200,A-,274000,764000,8756,47840,177579,0.09,Struggle
St. John's College - MD,350,MD,USN National College Ranking,64,0.58,14800,B-,161000,520000,16192,35635,275605,0.18,Challenged
St. John's College - NM,514,NM,USN National College Ranking,72,0.67,14800,B+,162000,488000,9287,35755,152508,0.19,Challenged
St. Mary's College of Maryland,1533,MD,USN National College Ranking,92,0.8,12100,B,297000,805000,8447,22687,23735,0.01,Thrive
St. Thomas Aquinas College,2800,NY,USN National College Ranking,119,0.76,8100,C,263000,720000,5335,31950,41182,0,Struggle
Stanford University,16332,CA,USN National University Ranking,6,0.04,246000,A+,677000,1593000,49242,51354,1620433,0.13,Thrive
Stevens Institute of Technology,5718,NJ,USN National University Ranking,74,0.41,49500,A,514000,1382000,9525,52202,36168,0.03,Thrive
Stonehill College,2513,MA,USN National College Ranking,124,0.7,27100,B,316000,908000,7387,42746,84128,0.01,Struggle
Stony Brook University,21706,NY,USN National University Ranking,91,0.42,90500,B-,372000,933000,10991,18460,11285,0.14,Survive
SUNY at Albany,15056,NY,USN National University Ranking,147,0.52,22200,A-,312000,813000,7221,18431,4762,0.04,Survive
SUNY College of Environmental Science and Forestry,2007,NY,USN National University Ranking,121,0.61,2400,A-,264000,708000,7757,13764,18755,0,Thrive
Susquehanna University,2311,PA,USN National College Ranking,117,0.72,27100,B-,289000,816000,5399,47290,73473,0.02,Struggle
Swarthmore College,1554,PA,USN National College Ranking,3,0.09,49500,B+,331000,883000,20011,52588,1361498,0.13,Thrive
Sweet Briar College,332,VA,USN National College Ranking,154,0.76,12100,C+,201000,573000,16278,21000,225353,0.03,Struggle
Syracuse University,19184,NY,USN National University Ranking,54,0.5,165000,A+,314000,918000,9844,51853,69761,0.14,Survive
Temple University,34382,PA,USN National University Ranking,104,0.59,165000,A+,281000,773000,9059,23018,19893,0.03,Survive
Tennessee Technological University,8290,TN,USN National University Ranking,272,0.76,9900,B,247000,641000,5279,16663,8105,0.01,Challenged
Texas A & M University-College Station,59220,TX,USN National University Ranking,70,0.68,301000,A+,363000,928000,8298,24683,214263,0.09,Thrive
Texas Christian University,10486,TX,USN National University Ranking,97,0.41,27100,A+,253000,768000,9823,46950,152198,0.05,Struggle
Texas Tech University,31495,TX,USN National University Ranking,218,0.71,40500,A+,325000,826000,4260,14060,23295,0.02,Thrive
The College of Idaho,928,ID,USN National College Ranking,117,0.49,14800,A-,205000,595000,6938,30155,107023,0.1,Challenged
The College of Saint Scholastica,3126,MN,USN National University Ranking,254,0.66,210,B+,299000,799000,6346,37212,28648,0.03,Challenged
The College of Wooster,1996,OH,USN National College Ranking,66,0.54,22200,B,236000,687000,8357,50250,162074,0.17,Challenged
The New School,9240,NY,USN National University Ranking,153,0.57,40500,A,159000,592000,9271,49064,42439,0.27,Challenged
The Sage Colleges,1787,NY,USN National University Ranking,228,0.93,1600,C-,262000,698000,6878,30857,20692,0.02,Struggle
The University of Alabama,33038,AL,USN National University Ranking,153,0.59,165000,A+,247000,680000,5927,20005,25605,0.02,Thrive
The University of Findlay,3092,OH,USN National University Ranking,240,0.74,27100,B,240000,661000,7581,34360,13501,0,Struggle
The University of Montana,7968,MT,USN National University Ranking,254,0.88,49500,B-,209000,554000,7834,16102,24193,0.01,Struggle
The University of Texas at Austin,48542,TX,USN National University Ranking,48,0.39,6600,B,372000,938000,9450,24095,83225,0.03,Thrive
The University of Texas at Dallas,22708,TX,USN National University Ranking,147,0.69,2400,B,349000,866000,6540,24955,23400,0.03,Challenged
Thomas Jefferson University,5753,PA,USN National University Ranking,153,0.58,27100,B-,273000,771000,17360,40651,162158,0,Struggle
Towson University,18385,MD,USN National University Ranking,197,0.79,90500,A,314000,809000,4701,16574,4541,0.02,Survive
Transylvania University,976,KY,USN National College Ranking,72,0.89,14800,A-,224000,653000,7010,38750,178941,0.03,Struggle
Trinity College,2116,CT,USN National College Ranking,46,0.34,60500,B-,357000,1000000,12922,56910,293568,0.15,Survive
Tufts University,10718,MA,USN National University Ranking,29,0.15,90500,A+,421000,1159000,14435,56382,172230,0.12,Survive
Tulane University of Louisiana,10509,LA,USN National University Ranking,40,0.17,110000,A+,304000,905000,18276,54820,131694,0.05,Thrive
Union College,2195,NY,USN National College Ranking,45,0.39,40500,A-,349000,986000,33452,55290,601449,0.06,Thrive
Union University,2462,TN,USN National University Ranking,185,0.57,18100,A-,230000,651000,13163,32610,17391,0.03,Challenged
University at Buffalo,26475,NY,USN National University Ranking,79,0.56,74000,A,328000,840000,11481,18934,27384,0.11,Survive
University of Alabama at Birmingham,14220,AL,USN National University Ranking,166,0.92,18100,A,244000,646000,13399,14136,36897,0.04,Survive
University of Alabama in Huntsville,7125,AL,USN National University Ranking,263,0.81,9900,B+,269000,724000,5797,16538,11153,0.02,Challenged
University of Alaska Fairbanks,3237,AK,USN National University Ranking,263,0.76,12100,C,255000,632000,14248,13438,32730,0.02,Thrive
University of Arizona,36213,AZ,USN National University Ranking,117,0.84,165000,A+,296000,757000,8626,24417,26500,0.03,Survive
University of Arkansas,22602,AR,USN National University Ranking,153,0.77,60500,A+,279000,716000,6397,17149,52461,0.06,Survive
University of California-Berkeley,39393,CA,USN National University Ranking,22,0.15,201000,A+,425000,1055000,12496,28680,50746,0.14,Survive
University of California-Davis,36919,CA,USN National University Ranking,39,0.41,18100,A,368000,934000,18948,28898,11989,0.2,Survive
University of California-Irvine,35200,CA,USN National University Ranking,36,0.29,90500,A,380000,949000,13614,28196,12848,0.2,Survive
University of California-Los Angeles,42895,CA,USN National University Ranking,20,0.14,368000,A+,402000,993000,32521,27722,49557,0.11,Survive
University of California-Riverside,23302,CA,USN National University Ranking,91,0.51,49500,B+,318000,802000,9163,28323,7386,0.02,Survive
University of California-San Diego,36590,CA,USN National University Ranking,37,0.3,60500,B,391000,974000,20438,28663,20380,0.15,Survive
University of California-Santa Barbara,25320,CA,USN National University Ranking,34,0.32,60500,A+,346000,885000,8586,28887,8452,0.14,Survive
University of California-Santa Cruz,19093,CA,USN National University Ranking,84,0.47,9900,B+,275000,731000,7277,28456,5441,0.15,Challenged
University of Central Florida,46575,FL,USN National University Ranking,166,0.43,301000,A+,285000,727000,5539,14418,3469,0.04,Survive
University of Chicago,14966,IL,USN National University Ranking,6,0.07,135000,A,412000,1075000,56787,58230,468329,0.17,Survive
University of Cincinnati-Main Campus,28655,OH,USN National University Ranking,139,0.73,110000,A+,226000,638000,7411,19167,47628,0.08,Survive
University of Colorado Denver/Anschutz Medical Campus,13182,CO,USN National University Ranking,254,0.64,27000,A-,363000,912000,24038,17527,42839,0.06,Survive
University of Colorado-Boulder,30730,CO,USN National University Ranking,104,0.82,60500,A+,295000,789000,9685,24909,21334,0.04,Survive
University of Connecticut,24181,CT,USN National University Ranking,64,0.49,40500,A,359000,928000,13455,26914,17500,0.1,Survive
University of Dayton,10037,OH,USN National University Ranking,132,0.72,40500,A+,280000,816000,6985,42900,56522,0.02,Struggle
University of Delaware,21698,DE,USN National University Ranking,91,0.66,110000,A+,370000,925000,10870,23995,65130,0.03,Thrive
University of Denver,8528,CO,USN National University Ranking,97,0.56,74000,A,295000,845000,12425,50556,89347,0.05,Thrive
University of Detroit Mercy,4156,MI,USN National University Ranking,179,0.83,12100,B-,292000,751000,10945,28000,15220,0.06,Challenged
University of Florida,44135,FL,USN National University Ranking,34,0.39,201000,A+,374000,919000,11594,17520,39139,0.07,Survive
University of Georgia,34930,GA,USN National University Ranking,50,0.49,135000,A+,327000,818000,6342,21117,36483,0.05,Survive
University of Hartford,5113,CT,USN National University Ranking,211,0.71,33100,C,230000,695000,10337,40694,34961,0.03,Struggle
University of Hawaii at Manoa,13329,HI,USN National University Ranking,166,0.84,49500,B,285000,731000,14622,22986,3171,0.03,Survive
