Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
University of South Dakota,6252,SD,USN National University Ranking,263,0.86,22200,A-,252000,661000,7351,10743,39005,0.02,Thrive
University of South Florida-Main Campus,31546,FL,USN National University Ranking,104,0.43,74000,A+,290000,713000,8572,11867,14089,0.05,Survive
University of Southern California,40952,CA,USN National University Ranking,22,0.13,90500,A+,425000,1146000,27967,56225,135385,0.15,Survive
University of St Francis,1611,IL,USN National University Ranking,202,0.47,9900,B+,332000,849000,7123,32320,12282,0.02,Challenged
University of St Thomas,7372,MN,USN National University Ranking,139,0.8,33100,A,301000,855000,39216,42736,223122,0.05,Struggle
University of the Incarnate Word,6214,TX,USN National University Ranking,272,0.88,22200,A,264000,717000,7147,31484,22855,0.03,Challenged
University of the Pacific,5688,CA,USN National University Ranking,125,0.63,40500,B-,411000,1110000,14315,48164,79637,0.05,Struggle
University of Tulsa,3917,OK,USN National University Ranking,121,0.41,18100,B+,268000,740000,10975,41509,284560,0.08,Struggle
University of Utah,24865,UT,USN National University Ranking,104,0.67,110000,A,347000,863000,11560,19219,42302,0.04,Survive
University of Vermont,11941,VT,USN National University Ranking,121,0.68,49500,A,281000,741000,8911,30396,41101,0.06,Survive
University of Virginia-Main Campus,22509,VA,USN National University Ranking,28,0.26,110000,A+,385000,981000,13808,33343,304601,0.04,Thrive
University of Washington-Seattle Campus,41872,WA,USN National University Ranking,62,0.49,246000,A+,389000,951000,19234,23898,84412,0.16,Survive
University of Wisconsin-Madison,39045,WI,USN National University Ranking,46,0.52,49500,A+,347000,894000,10269,23680,108681,0.08,Survive
University of Wyoming,9955,WY,USN National University Ranking,228,0.96,40500,A-,310000,771000,9796,11445,51552,0.06,Survive
Ursinus College,1408,PA,USN National College Ranking,82,0.71,22200,B,287000,825000,8598,52050,102942,0.02,Struggle
Utah State University,18490,UT,USN National University Ranking,254,0.89,33100,B+,275000,696000,6408,15227,20391,0.01,Thrive
Valparaiso University,3481,IN,USN National University Ranking,153,0.89,27100,B+,277000,750000,7911,40260,71938,0.06,Challenged
Vanderbilt University,11864,TN,USN National University Ranking,15,0.1,110000,A+,441000,1113000,17310,49816,388441,0.13,Struggle
Vassar College,2442,NY,USN National College Ranking,14,0.25,60500,A-,297000,829000,15196,56960,443420,0.14,Struggle
Villanova University,7876,PA,USN National University Ranking,46,0.29,60500,A,410000,1169000,12240,53308,90222,0.04,Thrive
Virginia Commonwealth University,25301,VA,USN National University Ranking,162,0.86,27100,A,241000,669000,9220,25164,77125,0.02,Struggle
Virginia Military Institute,1685,VA,USN National College Ranking,72,0.51,12100,B-,402000,1042000,8171,32284,301019,0.01,Thrive
Virginia Tech,31972,VA,USN National University Ranking,74,0.65,165000,A+,388000,997000,8247,22764,35559,0.07,Survive
Wabash College,881,IN,USN National College Ranking,53,0.65,12100,A-,324000,872000,8864,43650,396901,0.04,Struggle
Wake Forest University,7880,NC,USN National University Ranking,27,0.29,49500,A+,338000,959000,18355,53322,168687,0.12,Survive
Warren Wilson College,720,NC,USN National College Ranking,160,0.86,12100,B-,80000,329000,5334,36280,73079,0.02,Struggle
Wartburg College,1456,IA,USN National College Ranking,148,0.76,12100,B+,254000,696000,4866,41280,52705,0.06,Challenged
Washington & Jefferson College,1351,PA,USN National College Ranking,92,0.82,2400,B-,291000,822000,7023,47964,106281,0.04,Struggle
Washington and Lee University,2219,VA,USN National College Ranking,10,0.21,18100,A,452000,1193000,19081,52455,722449,0.04,Thrive
Washington College,1346,MD,USN National College Ranking,105,0.64,27100,B,259000,759000,9052,46978,168590,0.09,Struggle
Washington State University,26683,WA,USN National University Ranking,166,0.77,90500,A+,320000,813000,7535,18702,38388,0.02,Thrive
Washington University in St Louis,13773,MO,USN National University Ranking,19,0.15,33100,A+,411000,1093000,68315,53399,558149,0.08,Thrive
Wayne State University,18746,MI,USN National University Ranking,246,0.71,74000,B+,259000,656000,10721,20544,21169,0.06,Survive
Wellesley College,2391,MA,USN National College Ranking,3,0.2,49500,A-,358000,950000,19018,53732,880473,0.15,Survive
Wells College,463,NY,USN National College Ranking,124,0.79,8100,D,166000,507000,6956,40700,80313,0.02,Struggle
Wesleyan College,523,GA,USN National College Ranking,145,0.48,12100,C,173000,464000,7475,23000,114645,0.03,Struggle
Wesleyan University,3052,CT,USN National College Ranking,17,0.17,74000,A,278000,811000,17710,54944,349023,0.14,Survive
West Virginia University,23846,WV,USN National University Ranking,228,0.82,60500,A+,299000,745000,9644,16903,28161,0.02,Thrive
Western Michigan University,16030,MI,USN National University Ranking,246,0.81,60500,A,263000,701000,7399,13928,25469,0.03,Survive
Western New England University,3129,MA,USN National University Ranking,218,0.85,18100,C+,288000,823000,8139,36804,21421,0.05,Challenged
Westminster College,2199,PA,USN National College Ranking,114,0.66,27100,A-,292000,777000,8116,36806,56121,0.03,Struggle
Westminster College,692,MO,USN National College Ranking,157,0.94,27100,A-,240000,661000,8116,27600,74856,0.03,Struggle
Westmont College,1266,CA,USN National College Ranking,117,0.62,18100,B,238000,738000,9253,45304,66350,0.02,Struggle
Wheaton College,2601,IL,USN National College Ranking,58,0.83,40500,A,236000,708000,9078,36420,176631,0.03,Struggle
Wheaton College,1678,MA,USN National College Ranking,82,0.7,40500,B,238000,701000,8166,52626,121006,0.09,Challenged
Whitman College,1436,WA,USN National College Ranking,46,0.5,22200,A,178000,677000,12738,52764,390675,0.07,Struggle
Whittier College,1779,CA,USN National College Ranking,105,0.76,22200,C+,236000,692000,10542,48086,65765,0.02,Struggle
